Borough,Ward,Incidents,Incidents,Incidents,Incidents,Incidents,Primary fires,Primary fires,Primary fires,Primary fires,Primary fires,Arson,Arson,Arson,Arson,Arson,"Dwelling fires
(Accidental)","Dwelling fires
(Accidental)","Dwelling fires
(Accidental)","Dwelling fires
(Accidental)","Dwelling fires
(Accidental)",Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fire deaths,Fire deaths,Fire deaths,Fire deaths,Fire deaths,Fire serious injuries,Fire serious injuries,Fire serious injuries,Fire serious injuries,Fire serious injuries,,
Borough,Ward,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,,
Barking and Dagenham,Whalebone,85,89,74,108,102,16,13,12,20,17, 10 , 7 , 7 , 15 , 13 , 8 , 8 , 6 , 6 , 7 , , , , , , , , , , ,3,5, , , ,,
Barking and Dagenham,Village,145,145,136,139,125,13,18,21,25,12, 15 , 11 , 12 , 18 , 10 , 6 , 14 , 12 , 10 , 3 , , , , , , , , , , ,3,1,2, , ,,
Barking and Dagenham,Valence,87,79,51,79,78,7,15,5,12,18, 4 , 7 , 3 , 5 , 13 , 3 , 10 , 1 , 5 , 6 , , ,1, ,1, , , , , , ,4, ,1,1,,
Barking and Dagenham,Thames,232,217,212,280,285,43,42,39,49,37, 29 , 27 , 23 , 38 , 31 , 9 , 10 , 13 , 16 , 15 ,1, ,1,1,3, , , , , ,1,2,4, ,1,,
Barking and Dagenham,River,114,110,98,120,86,18,23,15,18,16, 5 , 10 , 12 , 7 , 6 , 11 , 9 , 8 , 8 , 8 , , , , , , , , , ,1,4,3,1, ,2,,
Barking and Dagenham,Parsloes,59,66,74,103,80,10,14,10,16,9, 8 , 14 , 8 , 13 , 11 , 5 , 8 , 6 , 7 , 3 , , , ,1, , ,1, , , , ,1,3,1,1,,
Barking and Dagenham,Mayesbrook,93,73,70,112,100,21,15,13,23,16, 15 , 11 , 6 , 12 , 14 , 10 , 7 , 8 , 10 , 5 ,1,1,1,2,1, , , , , ,2,1,2, , ,,
Barking and Dagenham,Longbridge,70,75,73,91,93,11,10,4,16,19, 6 , 7 , 5 , 3 , 3 , 6 , 4 , 1 , 12 , 13 , ,1, ,2, , , , , , , ,1, ,1,4,,
Barking and Dagenham,Heath,122,142,129,119,121,21,12,20,18,16, 13 , 10 , 23 , 14 , 15 , 11 , 10 , 8 , 9 , 8 , , ,1,1,1, , , , ,2,2, , , ,5,,
Barking and Dagenham,Goresbrook,86,106,82,82,104,18,17,14,18,25, 17 , 10 , 10 , 12 , 14 , 6 , 4 , 7 , 6 , 12 ,2, , ,1, , , , , , , , , ,1,2,,
Barking and Dagenham,Gascoigne,228,211,173,193,209,18,14,17,19,19, 16 , 13 , 10 , 11 , 16 , 10 , 5 , 10 , 10 , 12 , , , , , , , , , , , , , ,1,2,,
Barking and Dagenham,Eastbury,103,111,94,131,107,15,23,12,18,12, 11 , 13 , 9 , 12 , 6 , 8 , 10 , 6 , 10 , 5 , , , , , , , , , , ,3, ,1, , ,,
Barking and Dagenham,Eastbrook,109,124,109,87,97,11,17,12,11,13, 12 , 10 , 11 , 13 , 9 , 1 , 8 , 5 , 1 , 5 , , , , , , , , , , , ,1, , ,2,,
Barking and Dagenham,Chadwell Heath,123,123,96,106,102,18,13,14,20,13, 16 , 16 , 17 , 15 , 9 , 8 , 7 , 5 , 12 , 8 ,1, ,1, , , , , , , , , , , ,2,,
Barking and Dagenham,Becontree,87,79,115,134,100,14,11,16,26,18, 13 , 4 , 14 , 13 , 5 , 6 , 8 , 9 , 12 , 11 , , , , , , , , , , ,1, ,4,2,1,,
Barking and Dagenham,Alibon,79,76,79,78,88,16,9,16,12,18, 4 , 7 , 9 , 5 , 12 , 9 , 3 , 8 , 5 , 5 , , , , , , , , , , ,3, , ,1, ,,
Barking and Dagenham,Abbey,238,233,256,228,264,22,20,22,17,22, 8 , 17 , 19 , 13 , 13 , 11 , 8 , 8 , 8 , 6 , , , , , , , , , , , , ,1,1,2,,
Barnet,Woodhouse,191,149,120,157,162,17,20,19,20,15, 11 , 4 , 4 , 4 , 1 , 8 , 10 , 8 , 11 , 8 ,2,1, ,1,2, , , , , , ,2,2,1, ,,
Barnet,West Hendon,155,150,140,190,188,18,24,21,23,17, 3 , 10 , 7 , 10 , 3 , 10 , 10 , 6 , 10 , 6 , ,1, ,1, , , , , , ,1,1, ,1,1,,
Barnet,West Finchley,140,137,123,173,154,19,12,9,21,8, 3 , 5 , 3 , 3 ,   , 7 , 4 , 6 , 12 , 5 ,4, ,2,2,1, , , , , ,1, ,3,1, ,,
Barnet,Underhill,160,178,114,161,271,10,20,11,21,12, 7 , 16 , 6 , 8 , 5 , 7 , 8 , 6 , 12 , 6 , ,1, ,1,1, , , , , ,1, , , , ,,
Barnet,Totteridge,121,117,100,138,148,16,17,13,13,20, 2 , 1 , 3 , 5 , 6 , 10 , 10 , 8 , 6 , 9 ,2,2,1,1, , , , , , , ,1, , ,2,,
Barnet,Oakleigh,119,119,106,105,108,22,12,11,11,17, 9 , 4 , 2 , 1 , 1 , 11 , 5 , 6 , 7 , 12 ,1,1, , , , , , , , , , , , ,3,,
Barnet,Mill Hill,157,177,146,178,164,22,25,15,20,23, 3 , 6 , 5 , 10 , 5 , 11 , 9 , 7 , 9 , 12 , , , , , ,1, , , , , , ,1, , ,,
Barnet,High Barnet,185,159,160,167,157,24,11,21,15,19, 12 , 6 , 6 , 6 , 3 , 8 , 7 , 12 , 8 , 11 ,1,1,6,4,2, , , , , , , ,2,1, ,,
Barnet,Hendon,203,188,181,192,210,22,27,23,29,30, 6 , 6 , 7 , 7 , 3 , 13 , 20 , 16 , 20 , 19 , , ,2, , , ,1, , , ,1, ,1, ,4,,
Barnet,Hale,150,128,114,117,110,22,22,17,11,17, 6 , 6 , 3 , 4 , 3 , 11 , 11 , 10 , 4 , 12 ,2,1, , ,1, , , , , , , , , ,1,,
Barnet,Golders Green,215,214,216,263,206,31,22,17,25,26, 5 , 7 , 3 , 6 , 3 , 16 , 10 , 10 , 16 , 15 ,3,4,1,5,1, , , , , ,2, , , , ,,
Barnet,Garden Suburb,135,154,146,159,197,16,23,9,17,20, 2 ,   , 1 , 1 , 1 , 13 , 14 , 7 , 11 , 10 ,1,3,2,1,1, , , , , ,1, ,1, , ,,
Barnet,Finchley Church End,128,134,143,139,120,11,20,22,19,11,   , 3 , 4 , 2 , 2 , 8 , 14 , 16 , 11 , 7 , ,1, , , , , , , , ,2,4, , , ,,
Barnet,Edgware,190,204,182,139,166,16,27,29,20,17, 5 , 12 , 6 , 7 , 3 , 8 , 11 , 16 , 8 , 12 , , , , , , , , , , , , , ,2, ,,
Barnet,East Finchley,143,136,157,143,153,22,13,15,24,17, 9 , 3 , 4 , 3 , 3 , 9 , 8 , 9 , 13 , 8 ,3,1, ,4,2,1, , , , , ,2, ,1,1,,
Barnet,East Barnet,116,100,98,74,104,18,18,13,14,12, 9 , 1 , 2 , 7 , 2 , 8 , 11 , 8 , 10 , 7 , , , ,1, , , , , , ,3, ,3, ,1,,
Barnet,Coppetts,143,144,147,130,144,16,24,16,16,12, 9 , 6 , 9 , 3 , 7 , 9 , 11 , 8 , 11 , 8 , ,1, , , , , , , , ,4,2, ,3,2,,
