 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
240215E,ESRI (UK) LIMITED=============,85127,1,"1,022.00",MAINTENANCE & SUPPORT,02/03/2015,"1,022.00",Information and Communication Technology,ICT
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,1,144.25,GROUNDS MAINTENANCE,02/03/2015,"2,955.91",Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,2,26.71,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,3,29.23,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,4,32.26,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,5,113.22,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,6,25.42,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,7,33.14,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,8,26.46,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,9,23.05,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,10,23.14,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,11,26.68,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,12,124.13,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,13,22.46,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,14,94,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,15,29.15,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,16,23.91,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,17,141.74,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,18,24.27,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,19,25.81,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,20,19.47,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,21,24.94,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,22,25.79,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,23,29.49,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,24,23.35,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,25,23.22,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,26,20.92,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,27,91.14,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,28,96.04,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,29,24.52,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
250215C,VISTA LANDSCAPE MANAGEMENT LTD,120501,30,280.25,GROUNDS MAINTENANCE,02/03/2015,,Technical And Service Support,"Works - Construction, R&M"
