 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Pro Class
902481,ROYAL MAIL====================,AD5831,1,350,DAY TO DAY MINOR IMPS,05/01/2015,350,Property PFI,Financial Services
902482,ICLEI,I 14 12 136 24127,1,"3,129.83",PROFESSIONAL DEVELOPMENT,05/01/2015,"3,129.83",EU Fired-Up Project,Facilities & Management S
902484,FFC LONDON SHOP===============,TSW17659  20/12/2014,1,787.5,GENERAL CONSUMABLES,07/01/2015,"3,187.50",Procurement,Fire & Rescue
902484,FFC LONDON SHOP===============,TSW17659  20/12/2014,2,"2,400.00",GENERAL CONSUMABLES,07/01/2015,,Procurement,Fire & Rescue
231214E,ADVANCED FURNITURE============,66214,1,"1,080.00",PURCHASES-FURNITURE,08/01/2015,"1,080.00",Property PFI,Furniture
231214E,ADVANCED FURNITURE============,66216,1,945,PURCHASES-COMPUTER/EQUIPMENT,08/01/2015,945,Property PFI,Furniture
181214E,ADAM PHONES LTD===============,1083549,1,480,CELLULAR TELEPHONES,08/01/2015,522,Information and Communication Technology,ICT
181214E,ADAM PHONES LTD===============,1083549,2,42,CELLULAR TELEPHONES,08/01/2015,,Information and Communication Technology,ICT
231214E,CHANGING YOUNG MINDS,081214 & 101214,1,150,GENERAL,08/01/2015,300,LIFE - LFB Funded,Human Resources
231214E,CHANGING YOUNG MINDS,081214 & 101214,2,150,GENERAL,08/01/2015,,LIFE - LFB Funded,Human Resources
221214C,BACP ENTERPRISES LTD==========,100260J,1,374,SUBSCRIPTIONS,08/01/2015,374,HR Excluding Secondments,Financial Services
231214E,*SPRUE SAFETY PRODUCTS LTD====,1068546,1,800,FIRE DETECTORS,08/01/2015,800,Operations Non Fire Stations,Health & Safety
221214C,SILVERSANDS LIMITED===========,121575,1,"4,275.00",PURCHASES-SOFTWARE,08/01/2015,"5,467.50",Information and Communication Technology,ICT
221214C,SILVERSANDS LIMITED===========,121575,2,"1,192.50",PURCHASES-SOFTWARE,08/01/2015,,Information and Communication Technology,ICT
221214C,OPERATIONAL RESEARCH IN HEALTH,125Y/LFB1/51,1,"8,433.33",CONSULTANTS,08/01/2015,"8,433.33",Strategy & Performance,Consultancy
050115G,OPERATIONAL RESEARCH IN HEALTH,136Y/LFBD6/1,1,"6,200.00",CONSULTANTS,08/01/2015,"6,200.00",National Co-ordination Centre,Consultancy
221214C,RICOH IMAGING UK LTD,1400146840,1,339.54,OPERATIONAL EQUIP-PURCHASE,08/01/2015,339.54,Regulatory Fire Safety,Facilities & Management S
181214E,BUREAU VERITAS HS&E LTD=======,14020525,1,"96,450.00",SCIENTIFIC SERVICES,08/01/2015,"96,450.00",Procurement,Environmental Services
231214E,SPECTRUM======================,1439,1,270,SPECIALIST EQUIPMENT,08/01/2015,270,Communications,Facilities & Management S
221214C,RESPIREX======================,149150,1,500,REPAIR & MAINTENANCE,08/01/2015,500,Technical And Service Support,Clothing
231214E,UK TAPES LTD==================,152972,1,"1,366.56",GENERAL CONSUMABLES,08/01/2015,"1,366.56",Procurement,Health & Safety
050115G,ENTEL UK LTD==================,160540,1,600,RADIO,08/01/2015,"1,415.65",Information and Communication Technology,ICT
050115G,ENTEL UK LTD==================,160540,2,525,RADIO,08/01/2015,,Information and Communication Technology,ICT
050115G,ENTEL UK LTD==================,160540,3,33.7,RADIO,08/01/2015,,Information and Communication Technology,ICT
050115G,ENTEL UK LTD==================,160540,4,160.75,RADIO,08/01/2015,,Information and Communication Technology,ICT
050115G,ENTEL UK LTD==================,160540,5,96.2,RADIO,08/01/2015,,Information and Communication Technology,ICT
221214C,GREATER LONDON AUTHORITY======,1800004498,1,"28,525.80",GLA GROUP SHARED SERVICES,08/01/2015,"28,525.80",Legal & Democratic Services,Fire & Rescue
050115G,FUTURE SAFETY LTD=============,2271,1,580,OPERATIONAL EQUIP-PURCHASE,08/01/2015,"1,330.00",Mass Casualty Response Project,Clothing
050115G,FUTURE SAFETY LTD=============,2271,2,580,OPERATIONAL EQUIP-PURCHASE,08/01/2015,,Mass Casualty Response Project,Clothing
050115G,FUTURE SAFETY LTD=============,2271,3,160,OPERATIONAL EQUIP-PURCHASE,08/01/2015,,Mass Casualty Response Project,Clothing
050115G,FUTURE SAFETY LTD=============,2271,4,10,REPAIR & MAINTENANCE,08/01/2015,,Technical And Service Support,Clothing
050115G,*LOCKHART CATERING EQUIPMENT,2328708,1,113.52,CATERING EQUIPMENT,08/01/2015,274.96,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,2,8.22,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,3,56.76,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,4,10.88,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,5,6.53,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,6,6.53,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,7,4.24,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,8,11.38,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,9,32.52,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,10,6.97,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,11,7.46,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,12,2.14,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,13,1.96,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,14,0.43,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,15,0.48,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
050115G,*LOCKHART CATERING EQUIPMENT,2328708,16,4.94,CATERING EQUIPMENT,08/01/2015,,Operations Fire Stations,Catering
231214E,CHARTERBRAE LIMITED===========,24184,1,917.2,PURCHASES-FURNITURE,08/01/2015,917.2,Property PFI,Furniture
800054964,ADECCO UK LIMITED=============,26941551,1,263.76,FRS STAFF AGENCY,08/01/2015,263.76,Regulatory Fire Safety,Human Resources
800055012,ADECCO UK LIMITED=============,26948907,1,499.52,FRS STAFF AGENCY,08/01/2015,499.52,Operational Directorates Support Group,Human Resources
800055014,ADECCO UK LIMITED=============,26948911,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operations Non Fire Stations,Human Resources
800055026,ADECCO UK LIMITED=============,26948920,1,893.2,FRS STAFF AGENCY,08/01/2015,893.2,Vehicle & Equipment Programme,Human Resources
800055027,ADECCO UK LIMITED=============,26948921,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operational Directorates Support Group,Human Resources
800055031,ADECCO UK LIMITED=============,26948926,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Regulatory Fire Safety,Human Resources
800055067,ADECCO UK LIMITED=============,26952675,1,"1,025.00",FRS STAFF AGENCY,08/01/2015,"1,025.00",Information and Communication Technology,Human Resources
800055068,ADECCO UK LIMITED=============,26952676,1,"1,281.25",FRS STAFF AGENCY,08/01/2015,"1,281.25",Information and Communication Technology,Human Resources
800055069,ADECCO UK LIMITED=============,26952677,1,"1,281.25",FRS STAFF AGENCY,08/01/2015,"1,281.25",Information and Communication Technology,Human Resources
800055070,ADECCO UK LIMITED=============,26952678,1,"1,281.25",FRS STAFF AGENCY,08/01/2015,"1,281.25",Information and Communication Technology,Human Resources
800055235,ADECCO UK LIMITED=============,26956384,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operations Non Fire Stations,Human Resources
800055245,ADECCO UK LIMITED=============,26956391,1,535.92,FRS STAFF AGENCY,08/01/2015,535.92,Vehicle & Equipment Programme,Human Resources
800055250,ADECCO UK LIMITED=============,26956396,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Regulatory Fire Safety,Human Resources
800055319,ADECCO UK LIMITED=============,26963807,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operations Non Fire Stations,Human Resources
800055325,ADECCO UK LIMITED=============,26963813,1,893.2,FRS STAFF AGENCY,08/01/2015,893.2,Vehicle & Equipment Programme,Human Resources
800055345,ADECCO UK LIMITED=============,26963833,1,499.52,FRS STAFF AGENCY,08/01/2015,499.52,Regulatory Fire Safety,Human Resources
800055361,ADECCO UK LIMITED=============,26968296,1,"1,177.40",FRS STAFF AGENCY,08/01/2015,"1,177.40",Communications,Human Resources
800055360,ADECCO UK LIMITED=============,26968297,1,"1,177.40",FRS STAFF AGENCY,08/01/2015,"1,177.40",Communications,Human Resources
800055362,ADECCO UK LIMITED=============,26968302,1,"1,537.50",FRS STAFF AGENCY,08/01/2015,"1,537.50",Information and Communication Technology,Human Resources
800055367,ADECCO UK LIMITED=============,26971950,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operations Non Fire Stations,Human Resources
800055394,ADECCO UK LIMITED=============,26971977,1,285.44,FRS STAFF AGENCY,08/01/2015,285.44,Regulatory Fire Safety,Human Resources
800055396,ADECCO UK LIMITED=============,26975649,1,"1,177.40",FRS STAFF AGENCY,08/01/2015,"1,177.40",Communications,Human Resources
800055397,ADECCO UK LIMITED=============,26975650,1,"1,177.40",FRS STAFF AGENCY,08/01/2015,"1,177.40",Communications,Human Resources
800055395,ADECCO UK LIMITED=============,26975652,1,"1,025.00",FRS STAFF AGENCY,08/01/2015,"1,025.00",Information and Communication Technology,Human Resources
800055973,ADECCO UK LIMITED=============,26994144,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Technical And Service Support,Human Resources
800055984,ADECCO UK LIMITED=============,26998338,1,"1,177.40",FRS STAFF AGENCY,08/01/2015,"1,177.40",Communications,Human Resources
800056656,ADECCO UK LIMITED=============,27002235,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operations Non Fire Stations,Human Resources
800056689,ADECCO UK LIMITED=============,27006039,1,"1,177.40",FRS STAFF AGENCY,08/01/2015,"1,177.40",Communications,Human Resources
800056683,ADECCO UK LIMITED=============,27006048,1,"1,281.25",FRS STAFF AGENCY,08/01/2015,"1,281.25",Information and Communication Technology,Human Resources
800056693,ADECCO UK LIMITED=============,27008881,1,401.92,FRS STAFF AGENCY,08/01/2015,401.92,Regulatory Fire Safety,Human Resources
800056694,ADECCO UK LIMITED=============,27008882,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Regulatory Fire Safety,Human Resources
800056697,ADECCO UK LIMITED=============,27008885,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Technical And Service Support,Human Resources
800056700,ADECCO UK LIMITED=============,27008888,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Regulatory Fire Safety,Human Resources
800056701,ADECCO UK LIMITED=============,27008889,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Regulatory Fire Safety,Human Resources
800056702,ADECCO UK LIMITED=============,27008890,1,356.8,FRS STAFF AGENCY,08/01/2015,356.8,Regulatory Fire Safety,Human Resources
800056703,ADECCO UK LIMITED=============,27008891,1,"1,250.77",FRS STAFF AGENCY,08/01/2015,"1,250.77",Legal & Democratic Services,Human Resources
800056705,ADECCO UK LIMITED=============,27008893,1,374.64,FRS STAFF AGENCY,08/01/2015,374.64,Operational Directorates Support Group,Human Resources
800056706,ADECCO UK LIMITED=============,27008894,1,635.17,FRS STAFF AGENCY,08/01/2015,635.17,Corporate Management Secretariat,Human Resources
800056708,ADECCO UK LIMITED=============,27008896,1,996.04,FRS STAFF AGENCY,08/01/2015,996.04,Technical And Service Support,Human Resources
800056709,ADECCO UK LIMITED=============,27008897,1,720.16,FRS STAFF AGENCY,08/01/2015,720.16,National Operational Guidance Project,Human Resources
800056710,ADECCO UK LIMITED=============,27008898,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operations Non Fire Stations,Human Resources
800056712,ADECCO UK LIMITED=============,27008900,1,499.52,FRS STAFF AGENCY,08/01/2015,499.52,Regulatory Fire Safety,Human Resources
800056717,ADECCO UK LIMITED=============,27008905,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Technical And Service Support,Human Resources
800056718,ADECCO UK LIMITED=============,27008906,1,499.52,FRS STAFF AGENCY,08/01/2015,499.52,Operations Non Fire Stations,Human Resources
800056719,ADECCO UK LIMITED=============,27008907,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operational Resilience,Human Resources
800056720,ADECCO UK LIMITED=============,27008908,1,973.14,FRS STAFF AGENCY,08/01/2015,973.14,Review of Property Services,Human Resources
800056721,ADECCO UK LIMITED=============,27008909,1,"1,445.40",FRS STAFF AGENCY,08/01/2015,"1,445.40",National Operational Guidance Project,Human Resources
800056722,ADECCO UK LIMITED=============,27008910,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operational Directorates Support Group,Human Resources
800056723,ADECCO UK LIMITED=============,27008911,1,553.04,FRS STAFF AGENCY,08/01/2015,553.04,Operational Directorates Support Group,Human Resources
800056725,ADECCO UK LIMITED=============,27008913,1,499.52,FRS STAFF AGENCY,08/01/2015,499.52,Regulatory Fire Safety,Human Resources
