Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q10H,Q10I,Q10J,Q10K,Q10L,Q10M,Q10CQ,Q10CR,Q10CS,Q11A,Q11B,Q11C,Q11D,Q11E,Q11F,Q11G,Q11H,Q11I,Q11J,Q11K,Q11L,Q11M,Q11CQ,Q11CR,Q11CS,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q12I,Q12J,Q12K,Q12L,Q12M,Q13,Q14A,Q14B,Q14C,Q14D,Q14E,Q14F,Q15,Q16A,Q16B,Q16C,Q16D,Q16E,Q16F,Q16G,Q16H,Q16I,Q16J,Q16K,Q16L,Q16M,Q16N,Q16O,Q16P,Q16Q,Q16R,Q16S,Q16T,Q16U,Q16V,Q16W,Q16X,Q16CQ,Q16CR,Q16CS,Q16CT,Q17A,Q17B,Q17C,Q17D,Q17E,Q17F,Q17G,Q17H,Q17I,Q17J,Q17K,Q17L,Q17M,Q17N,Q17O,Q17P,Q17Q,Q17CQ,Q17CR,Q17CS,Q18A,Q18B,Q18C,Q18D,Q18E,Q18F,Q18G,Q18H,Q18I,Q18J,Q18K,Q18L,Q19A,Q19B,Q19C,Q19D,Q19E,Q19F,Q19G,Q19H,Q19I,Q19J,Q19K,Q19L,Q19CQ,Q19CR,Q19CS,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31A,Q31B,Q31C,Q31D,Q31E,Q31F,Q31CQ,Q31CS,Q32,Q33A,Q33B,Q33C,Q33D,Q33E,Q33F,Q33G,Q33H,Q33I,Q33J,Q33K,Q33CQ,Q33CR,Q33CS,Q34A,Q34B,Q34C,Q34D,Q34E,Q34F,Q34G,Q34H,Q34I,Q34J,Q34K,Q35A,Q35B,Q35C,Q35D,Q35E,Q36A,Q36B,Q36C,Q36D,Q36E,Q37,Q38,Q39A,Q39B,Q39C,Q39D,Q39E,Q39F,Q39G,Q39H,Q39I,Q39J,Q39K,Q39L,Q39M,Q39CQ,Q39CR,Q39CS,Q39CT,Q39CU,Q40A,Q40B,Q40C,Q40D,Q40E,Q40F,Q40G,Q40CQ,Q40CR,Q40CS,Q41A,Q41B,Q41C,Q41D,Q41E,Q41F,Q41G,Q41H,Q41CQ,Q41CS,Q42,Q43,Q47A,Q47B,Q47C,Q47D,Q47E,Q47F,Q47G,Q47H,Q47I,Q47J,Q47K,Q47L,Q47M,Q47N,Q47O,Q47P,Q47Q,Q47R,Q47S,Q47T,Q47U,Q47V,Q47W,Q47CQ,Q47CR,Q47CS,Q48,Q50A,Q50B,Q50C,Q50D,Q50E,Q50F,Q50G,Q50H,Q50I,Q50CR,Q50CS,Q51,Q52A,Q52B,Q52C,Q52D,Q52E,Q52F,Q52G,Q52H,Q52I,Q52J,Q52K,Q52L,Q52M,Q52N,Q52O,Q52P,Q52Q,Q52R,Q52S,Q52CQ,Q52CR,Q52CS,Q52CT,Q53A,Q53B,Q53C,Q53D,Q53E,Q53F,Q53G,Q53H,Q53I,Q53J,Q53K,Q53L,Q53M,Q53N,Q53O,Q53P,Q53Q,Q53R,Q53S,Q53CQ,Q53CR,Q53CS,Q53CT,Q54,Q55,Q56A,Q56B,Q56C,Q56D,Q56E,Q56F,Q56G,Q56H,Q56I,Q56J,Q56K,Q56L,Q56M,Q57A,Q57B,Q57C,Q57D,Q57E,Q57F,Q57G,Q57H,Q57I,Q57J,Q57K,Q57L,Q57M,Q57P,Q57CQ,Q57CR,Q57CS,Q58,Q59E,SEG,Q60,Q61,Q62,Q63AA,Q63AB,Q63AC,Q63AD,Q63AE,Q63AF,Q63AG,Q63AH,Q63AI,Q63AJ,Q63AK,Q63AL,Q63AM,Q63AN,Q63AO,Q63AP,Q63ACQ,Q63ACR,Q63ACS,Q63BA,Q63BB,Q63BC,Q63BD,Q63BE,Q63BF,Q63BG,Q63BH,Q63BI,Q63BJ,Q63BK,Q63BL,Q63BM,Q63BN,Q63BO,Q63BP,Q63BCQ,Q63BCR,Q63BCS,Q63BCT,Q63BCU,Q64A,Q64B,Q64C,Q64D,Q64E,Q65
Male,25 - 34,WHITE - British,Working - Full time (30+ hrs),Rented from local authority,Over 5 years up to 10 years,All my life/born in London,2 - Fairly dissatisfied,Fairly dissatisfied,Transport, , ,Job opportunities,The range of parks and open spaces, , , , , , , , , , , , , , ,Job opportunities, ,The range of shops,The range of sports and leisure, , , , , , , , , ,3 - Neither agree nor disagree,Tend to disagree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Neither agree nor disagree,Tend to disagree,Neither agree nor disagree,Tend to disagree,Tend to disagree,Neither agree nor disagree,3 - Fairly safe,2,4,3,4,2,2,2 - Fairly worried,People using drugs, ,Fear of being mugged or physically attacked,Fear of burglary, , , , ,Knife crime, , , , , , , , , , , , , , , , , , , , ,Traffic restrictions/more pedestrian crossings,More security cameras (CCTV), ,Neighbourhood Watch schemes/ wardens, , , , , , , , , , , , , , , ,3,2,3,2,3,2,2,3,3,3,2,3,Conserving energy, , ,Reducing pollution of rivers and canals,Reducing pollution from traffic, , , , , , , , , , ,5- Very satisfied,3 - Neither satisfied nor dissatisfied,More,More,YES - Helped a lot,YES - Helped a lot,YES - Helped a little,Some confidence,Some confidence,Some confidence,Not much confidence, , , , , ,Local Government, , ,Buses,Reducing traffic congestion,Cheaper bus and tube fares, ,Less pollution from traffic, , , , , , , , , , , , , , , , , ,Car or van, , , , , , , , , , , , , ,3 - Neither agree nor disagree,4- Tend to agree, ,Improving/regenerating Greater London,Promoting England/The London area, , ,Improving the local economy, , , , , , , , , , , , , , ,Better leisure facilities,Increased business and job opportunities, ,Attracting more tourists, , , , ,International Olympic Committee (IOC),Government,Mayor/Greater London Authority, , , , , , , ,Yes (correct) - Boris Johnson,A fair amount,Congestion Charging,Buses, , ,The Olympic and Paralympic Games, ,Attracting tourism to London, , , , , , , , , , , , , , , , , , , ,A fair amount,Determining policies and priorities for the GLA/The Mayor, , , , , , , , , , ,Doesn't tell us much at all about what they do, , , , , ,National newspapers,Local/Regional Television, , , , ,Leaflets and noticeboards in Local Council buildings, , , , , , , , , , , ,Local newspaper,Leaflets delivered to the door, ,Metro, , , , , , , , , , , , , , , , , , , ,Tend to agree,Tend to disagree, , , , , , , , , , , , ,Don't know,Education and training,Local environment, , ,Policing, , , , , , , , , , , , ,No,No,E,Yes,No,1 car or light van, , , , , , , , , ,Metro, ,The Sun, , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , , ,Yes at home, , , ,TV
Female,25 - 34,WHITE - Any other white background,Working - Full time (30+ hrs),Being bought on mortgage,Up to 1 year,Over 2 years up to 5 years,4 - Fairly satisfied,Fairly satisfied,Transport, , ,Job opportunities, ,The range of shops, , , , , , , , , , , , , , , , ,The range of sports and leisure,Nightlife (theatres/clubs/bars), , , , , , , , ,4 - Tend to agree,Strongly agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Neither agree nor disagree,Tend to agree,Neither agree nor disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,4 - Very safe,2,2,2,3,4,3,3 - Not very worried, , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , ,Traffic restrictions/more pedestrian crossings,More security cameras (CCTV), , , , ,Better relations between the police and the community, , , , , , , , , , , , ,3,2,3,4,2,3,3,2,3,2,2,3,Conserving energy, , ,Reducing pollution of rivers and canals,Reducing pollution from traffic, , , , , , , , , , ,4 - Fairly satisfied,4 - Fairly satisfied,More,About the same, , , ,Some confidence,Not much confidence,Some confidence,Some confidence,Government, , , , , , , ,London Underground, ,Cheaper bus and tube fares, ,Less pollution from traffic, ,More investment in improving London as a place to walk, , , , , , , , , ,Underground services (the tube),Local train services, , , , , , , , , ,Very safe,Very safe, , , ,A bit unsafe,A bit unsafe, , ,4 - Tend to agree,4- Tend to agree,Improving/regenerating the east end, ,Promoting England/The London area, , , , , , , , , , , , , , , , ,More adults participating in sport, , , , , , , , ,International Olympic Committee (IOC),Government, , , , , , , , ,Yes (correct) - Boris Johnson,A fair amount,Congestion Charging,Buses,Tube,Representing London at home and abroad,The Olympic and Paralympic Games, ,Attracting tourism to London,Making the case for increased central government funding for London,Tackling Climate change, , , , , , , , , , , , , , , , , ,A fair amount,Determining policies and priorities for the GLA/The Mayor,Planning public transport,Making decisions on congestion charging, , , , , , , , ,Gives us only a limited amount of information,Local newspaper, , , , , , , , , , , , , , , , , , , , , , , , , ,Metro, , ,Local/Regional Television,National Television, , , , , , , , , , , , , , , ,Tend to agree,Tend to agree, , , , , , , , , , , ,None of these, , ,Local environment, ,Affordable housing and property prices,Policing, , , , , , , , , , , , ,Yes,No,C2,No,No,None, , , , , ,The Evening Standard, , , ,Metro, ,The Sun, , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , ,Yes at work, , , , ,TV
Male,16 - 24,WHITE - British,Unemployed,Prefer not to say,Over 15 years up to 20 years,All my life/born in London,4 - Fairly satisfied,Fairly satisfied, , , , , ,The range of shops, , , , ,The range of housing available,Safety and policing, , , , ,Transport, , , , ,The range of shops, , , , , , , , , , ,3 - Neither agree nor disagree,Tend to agree,Tend to disagree,Tend to disagree,Neither agree nor disagree,Neither agree nor disagree,Tend to disagree,Neither agree nor disagree,Neither agree nor disagree,Tend to agree,Tend to disagree,Tend to disagree,Neither agree nor disagree,3 - Fairly safe,3,3,2,4,3,2,3 - Not very worried, , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , ,Improved street lighting, ,More security cameras (CCTV), , , ,More advice on crime prevention, , , , , , , , , , , , , ,3,Don't know,2,3,2,2,2,2,3,4,2,2,Conserving energy, , ,Reducing pollution of rivers and canals,Reducing pollution from traffic, , , , , , , , , , ,4 - Fairly satisfied,4 - Fairly satisfied,About the same,About the same, , , ,Some confidence,Some confidence,Some confidence,Some confidence, , , , ,Metropolitan Police Authority, , , ,Buses, ,Cheaper bus and tube fares, ,Less pollution from traffic,More investment in improving London as a place to cycle, , ,A more integrated/cohesive transport system, , , , , , ,Local buses,Underground services (the tube), , , , , , , , , ,3 - Fairly safe,Fairly safe, , , ,2 - A bit unsafe,A bit unsafe, , , ,4 - Tend to agree,3- Neither agree nor disagree,Improving/regenerating the east end,Improving/regenerating Greater London,Promoting England/The London area, , , , , , , , , , , , , , , , , ,Better leisure facilities,Increased business and job opportunities, , , , , , , ,Government, , , , , , , , ,No/don't know,Don't know, , , , , , , , , , , , , , , , , , , , , , , , , ,Don't know,Don't know, , , , , , , , , , ,Don't know,Doesn't tell us much at all about what they do, , , , , , , , , , , , , , , , , , , , ,None of these, , ,Local newspaper, , ,Metro, , , , , ,Friends/neighbours and relations, , , , , , , , , , , , , ,Tend to disagree,Tend to agree, , , , , , , , , , , ,None of these, ,Education and training, , , ,Policing, , , , , , , , , , , , ,No,No,D,No,No,2 cars/light vans, , , , , , , , , ,Metro, , , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , , ,Yes at home, , , ,Newspapers
Female,65+,WHITE - British,Working - Full time (30+ hrs),Owned outright,Over 20 years or more,All my life/born in London,4 - Fairly satisfied,Fairly satisfied, , , , , , ,The range of sports and leisure, , ,The mixture of people who live here,The range of housing available, , , , , , , ,Health services, , ,The range of shops, , , , , , , , , , ,2 - Tend to disagree,Tend to disagree,Neither agree nor disagree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Neither agree nor disagree,Tend to agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tend to agree,3 - Fairly safe,4,3,2,1 - Major problem,3,3,3 - Not very worried, , ,Fear of being mugged or physically attacked,Fear of burglary, , , , , , , , , , , , , , , , , , , , , , , , ,Improved street lighting, , , , , , , ,Drugs education/advice/rehabilitation, ,Encourage more parental responsibility, , , , , , , , , ,3,2,2,3,3,2,2,2,2,3,3,2, ,Conserving green spaces, ,Reducing pollution of rivers and canals, ,Fly tipping, , , , , , , , , ,4 - Fairly satisfied,2 - Fairly dissatisfied,More,More,YES - Helped a little,YES - Helped a little,YES - Helped a little,Some confidence,Not much confidence,Some confidence,Not much confidence, , , , ,Metropolitan Police Authority, , , ,Roads,Reducing traffic congestion, ,More reliable buses and tubes, , ,More investment in improving London as a place to walk, , , , , , , , , , , , , , , ,Car or van, , , , , , , , , , , , , ,3 - Neither agree nor disagree,No opinion, , , , , , , , , , , , , , , ,Don't know, , , , , , , , , , , ,Don't know, , , , , , , , , ,Don't know,Yes (correct) - Boris Johnson,A fair amount,Congestion Charging,Buses, , , ,Main roads, , , , ,Policing, , , , , , , , , , , , , , , ,A fair amount, , , , , , , , , , ,Don't know,Doesn't tell us much at all about what they do, , , , , , , , , , , , , , , , , , , , , , ,Don't get information,Local newspaper,Leaflets delivered to the door, , , , , , , , , , , , , , , , , , , , , ,Don't know,Definitely agree, , , , , , , , , , , ,None of these, ,Education and training, ,Health service, ,Policing, , , , , , , , , , , , ,Yes,No,E,No,Yes,None, , , , , , , , , , , ,The Sun, , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , , ,Yes at home, , , ,TV
Male,45 - 54,BLACK OR BLACK BRITISH - Caribbean,Part-time (9-29 hrs),Being bought on mortgage,Over 2 years up to 5 years,Over 5 years up to 10 years,4 - Fairly satisfied,Neither satisfied nor dissatisfied, , , , , , , ,Nightlife (theatres/clubs/bars), , ,The range of housing available,Safety and policing, , , , ,Transport,Schools, , , , ,The range of sports and leisure, , , , , , , , , ,3 - Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Tend to disagree,Neither agree nor disagree,Neither agree nor disagree,Tend to agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tend to agree,Tend to disagree,Tend to disagree,4 - Very safe,3,3,4,2,3,4,2 - Fairly worried,People using drugs, ,Fear of being mugged or physically attacked,Fear of burglary, , , , , , , , , , , , , , , , , , , , , , , , , , ,More security cameras (CCTV), , , , , , ,"Improving the local environment e.g. removing graffiti, abandoned vehicles etc", , ,Better design of housing estates eg. better lighting and layout, , , , , , , ,3,3,2,3,2,4,3,3,3,2,4,4,Conserving energy,Conserving green spaces, , , ,Fly tipping, , , , , , , , , ,5- Very satisfied,4 - Fairly satisfied,About the same,About the same, , , ,Not much confidence,Some confidence,Some confidence,Not much confidence, , , , ,Metropolitan Police Authority, , , ,Buses, ,Cheaper bus and tube fares,More reliable buses and tubes, , , ,"Improved personal safety on buses, the tube and trains", ,Measures to reduce overcrowding on the buses, , , , , ,Local buses,Underground services (the tube), , , , , , , , , ,4 - Very safe,Very safe, , , ,3 - Fairly safe,Fairly safe, , , ,4 - Tend to agree,4- Tend to agree, , ,Promoting England/The London area,Bringing more people/tourists to London,Benefits for businesses, , , , , , , , , , , , , , , , ,Increased business and job opportunities,Improved transport, , , , , ,International Olympic Committee (IOC), ,Mayor/Greater London Authority, , , , , , , ,Yes (correct) - Boris Johnson,A fair amount,Congestion Charging,Buses,Tube,Representing London at home and abroad,The Olympic and Paralympic Games, , ,Making the case for increased central government funding for London,Tackling Climate change,Reducing waste/ encouraging recycling,Policing, ,Over ground trains, , , , , , , , , , , , , ,A fair amount,Determining policies and priorities for the GLA/The Mayor,Planning public transport, , , , , , , , , ,Doesn't tell us much at all about what they do,Local newspaper, , ,Metro, , ,Local/Regional Television, , , , , , , , , , , , , , , , ,Local newspaper,Leaflets delivered to the door, , , , , , , , , , , , , , , , , , , , , ,Tend to agree,Tend to agree, , , , , , , , , , , ,None of these, , , , , , , , ,Traffic congestion,Job creation, , ,Economy, , , , , ,No,No,C1,Yes,No,1 car or light van, , , , , , , , , ,Metro, , , ,Daily Local Newspaper, , , , , , , , , , , , , , , , , , , , , , ,None of these, , , ,Yes at work,Yes at home, , , ,Internet
Female,65+,WHITE - British,Not working - retired,Rented from local authority,Over 20 years or more,All my life/born in London,3- Neither satisfied nor dissatisfied,Fairly satisfied, , , , , , , , , , , , , , , ,Don't know,Transport, ,Health services, ,The range of parks and open spaces, , , , , , , , , , , ,2 - Tend to disagree,Tend to disagree,Neither agree nor disagree,Tend to agree,Neither agree nor disagree,Tend to disagree,Neither agree nor disagree,Tend to agree,Neither agree nor disagree,Tend to disagree,Neither agree nor disagree,Neither agree nor disagree,Tend to disagree,3 - Fairly safe,3,2,3,4,3,3,3 - Not very worried, , ,Fear of being mugged or physically attacked,Fear of burglary, , , ,Fear of the dark/ night,Knife crime, , , , , , , , , , , , , , , , , , , ,Improved street lighting, ,More security cameras (CCTV),More police around on foot, , , , , , , , , , , , , , , , ,3,3,3,3,3,3,3,2,3,3,4,2, , , , , , ,Noise from neighbours,Noise from traffic and transport,Climate Change, , , , , , ,5- Very satisfied,3 - Neither satisfied nor dissatisfied,More,More,YES - Helped a lot,YES - Helped a lot,YES - Helped a lot,Some confidence,Some confidence,Some confidence,Some confidence, , , ,Metropolitan Police Service, , , , ,Don't know, , , , , , , , , , , , , ,Don't know, , , , ,Mini cabs (private hire), , , , , , , , , , ,Very safe, , , , ,Very safe,No opinion,No opinion, , , , , , , , , , , , , , , ,Don't know, , , , , , , , , , , ,Don't know, , , , , , , , , ,Don't know,Yes (correct) - Boris Johnson,Don't know,Congestion Charging,Buses, , , ,Main roads, ,Making the case for increased central government funding for London, , ,Policing,"Setting budgets for Transport, Police, Fire and Development authorities", , , , , , , , , , , , , , ,Don't know, , , , , , , , , , ,Don't know,Doesn't tell us much at all about what they do, , , , , , , , , , , , , , , , , , , , , , ,Don't get information, , , , , , , , , , , , , , , , , , , , ,None of these, , ,Don't know,Don't know, , , , , , , , , , , , ,Don't know,Education and training, ,Health service, , , , , , , , ,Economy, , , , , ,No,No,C2,No,No,None, , ,Daily Mirror, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , , , , ,No access to the Internet, ,Newspapers
Female,35 - 44,WHITE - Any other white background,looking after house/children,Rented from private landlord,Over 1 year up to 2 years,Over 2 years up to 5 years,4 - Fairly satisfied,Fairly satisfied, , , , ,The range of parks and open spaces,The range of shops, , , , ,The range of housing available, , , , , ,Transport,Schools, ,Job opportunities, , , , , , , , , , , , ,2 - Tend to disagree,Tend to disagree,Neither agree nor disagree,Tend to disagree,Tend to disagree,Tend to agree,Neither agree nor disagree,Tend to agree,Tend to disagree,Neither agree nor disagree,Tend to agree,Neither agree nor disagree,Tend to disagree,2 - A bit unsafe,2,2,2,3,2,3,2 - Fairly worried,People using drugs,People dealing drugs,Fear of being mugged or physically attacked,Fear of burglary, , , ,Fear of the dark/ night,Knife crime, , , , , , , , , , , , , , , , , , , , , , ,More police around on foot,Neighbourhood Watch schemes/ wardens, ,More advice on crime prevention, , , , , , , , , , , , , ,Don't know,Don't know,2,2,1 - Major problem,4,3,Don't know,Don't know,Don't know,Don't know,2, , , , , , , , , , , , , , ,Don't know,4 - Fairly satisfied,4 - Fairly satisfied,About the same,About the same, , , ,Some confidence,Some confidence,Some confidence,Some confidence, , , , , , , ,Don't know,Don't know, ,Cheaper bus and tube fares, , , , , , , , , , , , , , , , , , , ,Car or van, , , , , , , , , , , , , ,4 - Tend to agree,4- Tend to agree, , , , , , , , , , , , , , , ,Don't know, , , , , , , ,Attracting more tourists, , , , , , , , , , , , , ,Don't know,No/don't know,Don't know, , , , , , , , , , , , , , , , , , , , , , , , , ,Don't know,Don't know, , , , , , , , , , ,Don't know,Doesn't tell us much at all about what they do, , , , , , , , , , , , , , , , , , , , , , ,Don't get information, , , , , , , , , , , , , , , , , , , , , , ,Don't get information,Don't know,Don't know, , , , , , , , , , , , ,Don't know, , , , ,Policing, ,Crime and safety, ,Job creation, , , , , , , , ,No,No,D,Yes,No,1 car or light van, , , , , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , , ,None of these, , , , ,Yes at home, , , ,TV
Male,25 - 34,MIXED - White and Black Caribbean,Working - Full time (30+ hrs),Being bought on mortgage,Over 1 year up to 2 years,All my life/born in London,4 - Fairly satisfied,Fairly satisfied,Transport, ,Health services, , , ,The range of sports and leisure, , , , , , , , , , , , , ,The range of parks and open spaces,The range of shops, , , , , , , , , , ,3 - Neither agree nor disagree,Tend to agree,Tend to disagree,Neither agree nor disagree,Neither agree nor disagree,Tend to agree,Tend to agree,Neither agree nor disagree,Strongly agree,Tend to agree,Tend to agree,Neither agree nor disagree,Neither agree nor disagree,4 - Very safe,3,4,3,4,4,3,3 - Not very worried, ,People dealing drugs,Fear of being mugged or physically attacked,Fear of burglary, , , , , , , , , , , , , , , , , , , , , , , , , , , ,More police around on foot,Neighbourhood Watch schemes/ wardens, , , , , , , , , , , , , , , ,3,2,3,3,3,4,2,2,3,2,4,3,Conserving energy,Conserving green spaces, , , , , , , , , , , , , ,5- Very satisfied,4 - Fairly satisfied,About the same,About the same, , , ,Some confidence,Some confidence,Some confidence,Some confidence, , ,Mayor/Greater London Authority, , , , , ,London Underground, ,Cheaper bus and tube fares, , , , ,"Improved personal safety on buses, the tube and trains", , , , , , , , ,Underground services (the tube), , , , , , , , , , ,Very safe, , , , ,Fairly safe, , , ,3 - Neither agree nor disagree,4- Tend to agree,Improving/regenerating the east end, , ,Bringing more people/tourists to London, ,Improving the local economy, , , , , , , , , , , , ,More children participating in sport, , , ,Improved transport,Attracting more tourists, , , , , , , ,London Organising Committee of the Olympic Games (LOCOG),Olympic Delivery Authority (ODA), , , , , ,Yes (correct) - Boris Johnson,A fair amount,Congestion Charging,Buses, , , ,Main roads,Attracting tourism to London, ,Tackling Climate change, ,Policing, , , , , , , , , , , , , , , ,A fair amount, ,Planning public transport,Making decisions on congestion charging, , ,Setting budgets for the work of the GLA/The Mayor,Scrutinising budgets for the GLA/The Mayor, , , , ,Keeps us fairly well informed,Local newspaper, , ,Metro, , ,Local/Regional Television, , , , , , , , , , , , , , , , ,Local newspaper, , ,Metro, ,National newspapers, , , , , , , , , , , , , , , , , ,Tend to agree,Tend to agree, , , , , , , , , , , ,None of these, , , , , ,Policing,Improved public transport,Crime and safety, , , , , , , , , , ,Yes,No,B,Yes,No,3+ cars/light vans, , , , , , , , , , , ,The Sun, , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , ,Yes at work,Yes at home, , , ,Newspapers
Male,25 - 34,BLACK OR BLACK BRITISH - African,Working - Full time (30+ hrs),Rented from private landlord,Up to 1 year,Over 5 years up to 10 years,1- Very dissatisfied,Very dissatisfied, ,Schools, , , , , , , , , ,Safety and policing, , , , ,Transport, , , , , , , , , , , , , , , ,1 - Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Tend to disagree,No opinion,No opinion,Strongly disagree,1 - Very unsafe,2,5 - No problem at all,5 - No problem at all,2,2,2,4 - Not at all worried, , , , , , , , , , , , , , , , , , , , , , , , , , ,Do not feel unsafe in London, ,Improved street lighting, , , , , , , , , , , , , , , , , , , ,3,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,3, , , , , , , , , , , , , ,None of these, ,2 - Fairly dissatisfied,2 - Fairly dissatisfied,About the same,About the same, , , ,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,Government, , , , , , , ,Buses, , ,More reliable buses and tubes, , , , , , , , , , , ,Local buses, ,Local train services, , , , , , , , ,3 - Fairly safe, ,Fairly safe, , ,4 - Very safe, ,Very safe, , ,1 - Strongly disagree,1 - Strongly disagree, , , , ,Benefits for businesses, , , , , , , , , , , , , , , , , , , , , ,None of these, , ,Government, , , , , , , , ,No/don't know,Nothing at all, , , , , ,Main roads,Attracting tourism to London, , , , , , , , , , , ,Promoting skills and vocational training in London, , , , , , , ,Don't know, , , , , , , , , ,None of these, ,Don't know, , , ,Metro, , , , , , , , , , , , , , , , , , , , , , ,Metro, , , , , , , , , , , , , , , , , , , ,Definitely agree,Definitely agree, , , , , , , , , , , ,None of these, , ,Local environment,Health service, , , , ,Traffic congestion, , , , , , , , , ,No,No,D,No,No,1 car or light van, , , , , , , , , ,Metro, , , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , , ,Yes at home, , , ,TV
Female,55 - 64,WHITE - British,Working - Full time (30+ hrs),Owned outright,Over 20 years or more,All my life/born in London,5- Very satisfied,No opinion, , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , ,Safety and policing, , , , ,No opinion,No opinion,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,No opinion,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Tend to agree,Strongly agree,Tend to disagree,Never go out in the evening,2,1 - Major problem,1 - Major problem,1 - Major problem,1 - Major problem,1 - Major problem,1- Very worried,People using drugs, , , , , , , , , , , , , , , , , , , , , , ,Nuisance/dangerous dogs, , , , , , , , , , , , , , , , , , , , , , , ,Don't know,4,5 - No problem at all,2,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , ,None of these, ,No collection from household,No opinion,Don't know,Don't know, , , ,Don't know,Don't know,Don't know,Don't know, , ,Mayor/Greater London Authority, , , , , ,Roads, , , , , , , , , , , , ,None of these, , , , , , , , , , , ,None of these, , , , , , , , , , ,5 - Strongly agree,5- Strongly agree, , , , , , , , , , , , , , ,None of these, , , , , , , , , , , ,None of these, , , , , , , , , ,Other, ,Yes (correct) - Boris Johnson,Nothing at all, , , , , , , , , , , , , , , , , , , , , , , , , ,Don't know,Don't know, , , , , , , , , , ,Don't know,Doesn't tell us much at all about what they do, , , , , , , , , , , , , , , , , , , , , ,Don't know, , , , , , , , , , , , , , , , , , , , , , ,Don't know, ,Definitely agree,Definitely agree, , , , , , , , , , , ,None of these, , , ,Health service, , , , , , , , , , , , , , ,Yes,No,C1,Yes,No,1 car or light van, , , , , , , , , , , ,The Sun, ,Daily Local Newspaper,Weekly Local Newspaper, , , , , , , , , , , , , , , , , , , , , ,None of these, , , , , , ,No access to the Internet, ,TV
