 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
230414C,MOOLANDS LTD,00000595,1,"2,900.00",STRATEGIC (NON CYCLICAL),01/05/14,"2,900.00"
280414E,MOOLANDS LTD,00000612,1,"2,500.00",STRATEGIC (NON CYCLICAL),01/05/14,"2,500.00"
280414E,MOOLANDS LTD,00000613,1,"1,356.65",STRATEGIC (NON CYCLICAL),01/05/14,"1,356.65"
280414E,MOOLANDS LTD,00000614,1,"1,616.00",STRATEGIC (NON CYCLICAL),01/05/14,"1,616.00"
280414E,MOOLANDS LTD,00000615,1,629.80,STRATEGIC (NON CYCLICAL),01/05/14,629.80
280414E,AFFINITY WATER,101036075,1,"1,397.00",CURRENT HYDRANT COSTS,01/05/14,"1,397.00"
280414E,AFFINITY WATER,101036080,1,"1,397.00",CURRENT HYDRANT COSTS,01/05/14,"1,397.00"
220414C,A&A ELECTRICAL DISTRIBUTORS===,1022232,1,"1,350.00",GENERAL CONSUMABLES,01/05/14,"1,634.67"
220414C,A&A ELECTRICAL DISTRIBUTORS===,1022232,2,204.57,GENERAL CONSUMABLES,01/05/14,
220414C,A&A ELECTRICAL DISTRIBUTORS===,1022232,3,80.10,GENERAL CONSUMABLES,01/05/14,
230414C,*SPRUE SAFETY PRODUCTS LTD====,1059763,1,"1,730.40",FIRE DETECTORS,01/05/14,"1,730.40"
170414C,*SPRUE SAFETY PRODUCTS LTD====,1059764,1,988.80,FIRE DETECTORS,01/05/14,988.80
170414C,*SPRUE SAFETY PRODUCTS LTD====,1059765,1,"1,730.40",FIRE DETECTORS,01/05/14,"1,730.40"
280414E,RUTH LEE LTD==================,12049,1,477.70,OPERATIONAL EQUIP-PURCHASE,01/05/14,906.40
280414E,RUTH LEE LTD==================,12049,2,428.70,OPERATIONAL EQUIP-PURCHASE,01/05/14,
800037048,REDFERN TRAVEL LTD,1251715,1,370.24,PUBLIC TRANSPORT,01/05/14,370.24
800037059,REDFERN TRAVEL LTD,1258169,1,476.70,OVERSEAS TRAVEL,01/05/14,476.70
800037063,REDFERN TRAVEL LTD,1262965,1,278.10,PUBLIC TRANSPORT,01/05/14,278.10
800037036,REDFERN TRAVEL LTD,1263467,1,"1,489.00",HIRE OF FACILITIES,01/05/14,"1,489.00"
800037067,REDFERN TRAVEL LTD,1263728,1,541.09,PUBLIC TRANSPORT,01/05/14,541.09
800037096,REDFERN TRAVEL LTD,1268606,1,752.92,OVERSEAS TRAVEL,01/05/14,752.92
800037088,REDFERN TRAVEL LTD,1269124,1,353.84,PUBLIC TRANSPORT,01/05/14,353.84
800037095,REDFERN TRAVEL LTD,1269165,1,498.40,PUBLIC TRANSPORT,01/05/14,498.40
800037085,REDFERN TRAVEL LTD,1270107,1,379.88,OVERSEAS TRAVEL,01/05/14,379.88
800037087,REDFERN TRAVEL LTD,1270119,1,264.51,OVERSEAS TRAVEL,01/05/14,264.51
800037091,REDFERN TRAVEL LTD,1270120,1,381.94,OVERSEAS TRAVEL,01/05/14,381.94
280414E,AGE CONCERN HAVERING==========,13142,1,420.00,COMMUNITY RELATIONS,01/05/14,420.00
140652,CHARLES PUGH (WINDSCREENS) LTD,13305V917,1,763.03,WINDSCREEN & TYRE CHARGES,01/05/14,763.03
280414E,NEIL STEWART ASSOCIATES=======,1386596-67652804,1,375.00,PROFESSIONAL DEVELOPMENT,01/05/14,375.00
230414C,BUREAU VERITAS HS&E LTD=======,14005962,1,"97,650.00",SCIENTIFIC SERVICES,01/05/14,"97,650.00"
170414C,REED CHILL CHEATER LTD,14305,1,"1,000.00",PROTECTIVE EQUIPMENT,01/05/14,"3,017.50"
170414C,REED CHILL CHEATER LTD,14305,2,"1,000.00",PROTECTIVE EQUIPMENT,01/05/14,
170414C,REED CHILL CHEATER LTD,14305,3,"1,000.00",PROTECTIVE EQUIPMENT,01/05/14,
170414C,REED CHILL CHEATER LTD,14305,4,17.50,OPERATIONAL EQUIP-PURCHASE,01/05/14,
240414G,CO-STAR ELECTRONIC COMPONENTS=,143774/163935,1,115.00,RADIO,01/05/14,333.29
240414G,CO-STAR ELECTRONIC COMPONENTS=,143774/163935,2,67.90,RADIO,01/05/14,
240414G,CO-STAR ELECTRONIC COMPONENTS=,143774/163935,3,18.30,RADIO,01/05/14,
240414G,CO-STAR ELECTRONIC COMPONENTS=,143774/163935,4,23.00,RADIO,01/05/14,
240414G,CO-STAR ELECTRONIC COMPONENTS=,143774/163935,5,29.59,RADIO,01/05/14,
240414G,CO-STAR ELECTRONIC COMPONENTS=,143774/163935,6,31.75,RADIO,01/05/14,
