 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Location Description
120914D,HEALTH MANAGEMENT LIMITED=====,0000118989,1,"5,400.00",THIRD PARTY REPORTS,02/10/14,"5,400.00",HR CENTRALLY HELD BUDGETS
260914G,ENTEL UK LTD==================,0000141757,1,859.00,RADIO,02/10/14,859.00,I&CT OPERATIONAL SUPPORT
260914G,ENTEL UK LTD==================,0000141805,1,434.00,RADIO,02/10/14,434.00,I&CT OPERATIONAL SUPPORT
290914G,CLARITY INFORMATION SOLUTIONS=,01127,1,556.00,CONSULTANTS,02/10/14,638.00,NATL OPERATIONAL GUIDANCE PROJ
290914G,CLARITY INFORMATION SOLUTIONS=,01127,2,82.00,CONSULTANTS,02/10/14,,NATL OPERATIONAL GUIDANCE PROJ
160914E,*SPRUE SAFETY PRODUCTS LTD====,1065219,1,"3,090.00",FIRE DETECTORS,02/10/14,"3,090.00",NORTH EAST AREA TEAM
800053254,*JAMES HUNTER (OUTFITTERS) LTD,107824,1,231.56,CLOTHING,02/10/14,293.35,EALING FS
800053254,*JAMES HUNTER (OUTFITTERS) LTD,107824,2,61.79,CLOTHING,02/10/14,,EALING FS
800053255,*JAMES HUNTER (OUTFITTERS) LTD,107825,1,231.56,CLOTHING,02/10/14,293.35,EALING FS
800053255,*JAMES HUNTER (OUTFITTERS) LTD,107825,2,61.79,CLOTHING,02/10/14,,EALING FS
800053257,*JAMES HUNTER (OUTFITTERS) LTD,107827,1,293.13,CLOTHING,02/10/14,293.13,SOHO FS
800053258,*JAMES HUNTER (OUTFITTERS) LTD,107828,1,293.13,CLOTHING,02/10/14,293.13,EDMONTON FIRE STATION
800053264,*JAMES HUNTER (OUTFITTERS) LTD,107834,1,318.85,CLOTHING,02/10/14,391.72,OPERATIONAL TACTICS
800053264,*JAMES HUNTER (OUTFITTERS) LTD,107834,2,72.87,CLOTHING,02/10/14,,OPERATIONAL TACTICS
800053266,*JAMES HUNTER (OUTFITTERS) LTD,107836,1,289.84,CLOTHING,02/10/14,289.84,WIMBLEDON FIRE STATION
800053267,*JAMES HUNTER (OUTFITTERS) LTD,107837,1,362.23,CLOTHING,02/10/14,362.23,OPERATIONAL TACTICS
250914C,ROYAL COLLEGE OF MUSIC========,11043798,1,370.00,PRESS OFFICE,02/10/14,370.00,COMMS MARKETING
290914G,ACL ELECTRICAL LIMITED,11250,1,"8,612.00",STRATEGIC (NON CYCLICAL),02/10/14,"8,612.00",TWICKENHAM FS
260914G,VISTA LANDSCAPE MANAGEMENT LTD,120115,1,687.50,GROUNDS MAINTENANCE,02/10/14,"1,512.50",ERITH FS
260914G,VISTA LANDSCAPE MANAGEMENT LTD,120115,2,225.00,GROUNDS MAINTENANCE,02/10/14,,ERITH FS
260914G,VISTA LANDSCAPE MANAGEMENT LTD,120115,3,600.00,GROUNDS MAINTENANCE,02/10/14,,ERITH FS
290914G,AAI SECURITY SYSTEMS==========,132698,1,990.00,STRATEGIC (CYCLICAL),02/10/14,990.00,PREMISES HOLDING A/C HQ
800052893,REDFERN TRAVEL LTD,1348531,1,259.20,PUBLIC TRANSPORT,02/10/14,259.20,BUSINESS CONTINUITY
800052872,REDFERN TRAVEL LTD,1348562,1,"3,530.40",PUBLIC TRANSPORT,02/10/14,"3,530.40",BUSINESS CONTINUITY
800052878,REDFERN TRAVEL LTD,1348565,1,252.20,PUBLIC TRANSPORT,02/10/14,252.20,BUSINESS CONTINUITY
800052890,REDFERN TRAVEL LTD,1348672,1,252.20,PUBLIC TRANSPORT,02/10/14,252.20,BUSINESS CONTINUITY
800052870,REDFERN TRAVEL LTD,1348680,1,682.70,PUBLIC TRANSPORT,02/10/14,682.70,BUSINESS CONTINUITY
800052879,REDFERN TRAVEL LTD,1348690,1,381.95,PUBLIC TRANSPORT,02/10/14,381.95,BUSINESS CONTINUITY
800052895,REDFERN TRAVEL LTD,1348715,1,793.90,PUBLIC TRANSPORT,02/10/14,793.90,BUSINESS CONTINUITY
800052894,REDFERN TRAVEL LTD,1348729,1,557.70,PUBLIC TRANSPORT,02/10/14,557.70,BUSINESS CONTINUITY
800052873,REDFERN TRAVEL LTD,1348732,1,557.70,PUBLIC TRANSPORT,02/10/14,557.70,BUSINESS CONTINUITY
800052892,REDFERN TRAVEL LTD,1348858,1,287.20,PUBLIC TRANSPORT,02/10/14,287.20,BUSINESS CONTINUITY
800052859,REDFERN TRAVEL LTD,1349981,1,470.97,OVERSEAS TRAVEL,02/10/14,470.97,CHALLENGE TEAM
800052886,REDFERN TRAVEL LTD,1351592,1,291.40,PUBLIC TRANSPORT,02/10/14,291.40,ENFORCEMENT - NORTH WEST
800052875,REDFERN TRAVEL LTD,1351597,1,292.25,PUBLIC TRANSPORT,02/10/14,292.25,ENFORCEMENT - NORTH WEST
800053036,REDFERN TRAVEL LTD,1356035,1,268.82,PUBLIC TRANSPORT,02/10/14,268.82,NATL OPERATIONAL GUIDANCE PROJ
800052915,REDFERN TRAVEL LTD,1356428,1,310.54,PUBLIC TRANSPORT,02/10/14,310.54,NATL OPERATIONAL GUIDANCE PROJ
800053125,*NPS (SHOES) LTD,13584,1,41.10,CLOTHING,02/10/14,"2,846.25",POPLAR FS
800053125,*NPS (SHOES) LTD,13584,2,41.10,CLOTHING,02/10/14,,FSR - POLICY
800053125,*NPS (SHOES) LTD,13584,3,41.10,CLOTHING,02/10/14,,FSR - POLICY
800053125,*NPS (SHOES) LTD,13584,4,41.10,CLOTHING,02/10/14,,ENFORCEMENT - SOUTH EAST
800053125,*NPS (SHOES) LTD,13584,5,41.10,CLOTHING,02/10/14,,LEYTONSTONE FS
800053125,*NPS (SHOES) LTD,13584,6,30.05,CLOTHING,02/10/14,,EAST HAM FIRE STATION
800053125,*NPS (SHOES) LTD,13584,7,30.05,CLOTHING,02/10/14,,DAGENHAM FIRE STATION
800053125,*NPS (SHOES) LTD,13584,8,30.05,CLOTHING,02/10/14,,ENFORCEMENT - SOUTH WEST
800053125,*NPS (SHOES) LTD,13584,9,30.05,CLOTHING,02/10/14,,PROTECTIVE EQUIPMENT GROUP
800053125,*NPS (SHOES) LTD,13584,10,30.05,CLOTHING,02/10/14,,LAMBETH FS
800053125,*NPS (SHOES) LTD,13584,11,30.05,CLOTHING,02/10/14,,BARKING FIRE STATION
800053125,*NPS (SHOES) LTD,13584,12,30.05,CLOTHING,02/10/14,,EDMONTON FIRE STATION
800053125,*NPS (SHOES) LTD,13584,13,30.05,CLOTHING,02/10/14,,LAMBETH FS
800053125,*NPS (SHOES) LTD,13584,14,30.05,CLOTHING,02/10/14,,STRATFORD FIRE STATION
800053125,*NPS (SHOES) LTD,13584,15,30.05,CLOTHING,02/10/14,,HORNSEY FIRE STATION
800053125,*NPS (SHOES) LTD,13584,16,30.05,CLOTHING,02/10/14,,PADDINGTON FS
800053125,*NPS (SHOES) LTD,13584,17,30.05,CLOTHING,02/10/14,,KENTISH TOWN FS
800053125,*NPS (SHOES) LTD,13584,18,30.05,CLOTHING,02/10/14,,CFS - TOWER HAMLETS
800053125,*NPS (SHOES) LTD,13584,19,30.05,CLOTHING,02/10/14,,DAGENHAM FIRE STATION
800053125,*NPS (SHOES) LTD,13584,20,30.05,CLOTHING,02/10/14,,PLUMSTEAD FS
800053125,*NPS (SHOES) LTD,13584,21,30.05,CLOTHING,02/10/14,,SOUTHGATE FIRE STATION
800053125,*NPS (SHOES) LTD,13584,22,30.05,CLOTHING,02/10/14,,ENFORCEMENT - SOUTH WEST
800053125,*NPS (SHOES) LTD,13584,23,30.05,CLOTHING,02/10/14,,DAGENHAM FIRE STATION
800053125,*NPS (SHOES) LTD,13584,24,30.05,CLOTHING,02/10/14,,DAGENHAM FIRE STATION
800053125,*NPS (SHOES) LTD,13584,25,30.05,CLOTHING,02/10/14,,ENFORCEMENT - SOUTH EAST
800053125,*NPS (SHOES) LTD,13584,26,30.05,CLOTHING,02/10/14,,WIMBLEDON FIRE STATION
800053125,*NPS (SHOES) LTD,13584,27,30.05,CLOTHING,02/10/14,,ENFORCEMENT - SOUTH EAST
800053125,*NPS (SHOES) LTD,13584,28,30.05,CLOTHING,02/10/14,,KENTISH TOWN FS
800053125,*NPS (SHOES) LTD,13584,29,30.05,CLOTHING,02/10/14,,PADDINGTON FS
800053125,*NPS (SHOES) LTD,13584,30,29.45,CLOTHING,02/10/14,,KENTISH TOWN FS
800053125,*NPS (SHOES) LTD,13584,31,29.45,CLOTHING,02/10/14,,HORNSEY FIRE STATION
800053125,*NPS (SHOES) LTD,13584,32,29.45,CLOTHING,02/10/14,,BIGGIN HILL FS
800053125,*NPS (SHOES) LTD,13584,33,29.45,CLOTHING,02/10/14,,CHINGFORD FS
800053125,*NPS (SHOES) LTD,13584,34,29.45,CLOTHING,02/10/14,,HAYES FS
800053125,*NPS (SHOES) LTD,13584,35,29.45,CLOTHING,02/10/14,,NEW MALDEN FS
800053125,*NPS (SHOES) LTD,13584,36,29.45,CLOTHING,02/10/14,,HOLLOWAY FIRE STATION
800053125,*NPS (SHOES) LTD,13584,37,29.45,CLOTHING,02/10/14,,HAYES FS
800053125,*NPS (SHOES) LTD,13584,38,29.45,CLOTHING,02/10/14,,NEW CROSS FS
800053125,*NPS (SHOES) LTD,13584,39,29.45,CLOTHING,02/10/14,,LEE GREEN FS
800053125,*NPS (SHOES) LTD,13584,40,29.45,CLOTHING,02/10/14,,HORNSEY FIRE STATION
800053125,*NPS (SHOES) LTD,13584,41,29.45,CLOTHING,02/10/14,,ENFIELD FIRE STATION
800053125,*NPS (SHOES) LTD,13584,42,29.45,CLOTHING,02/10/14,,CHISWICK FS
800053125,*NPS (SHOES) LTD,13584,43,29.45,CLOTHING,02/10/14,,CHISWICK FS
800053125,*NPS (SHOES) LTD,13584,44,41.10,CLOTHING,02/10/14,,CLAPHAM FS
800053125,*NPS (SHOES) LTD,13584,45,30.05,CLOTHING,02/10/14,,BECKENHAM FS
800053125,*NPS (SHOES) LTD,13584,46,30.05,CLOTHING,02/10/14,,HILLINGDON FS
800053125,*NPS (SHOES) LTD,13584,47,30.05,CLOTHING,02/10/14,,HESTON FS
800053125,*NPS (SHOES) LTD,13584,48,29.45,CLOTHING,02/10/14,,BARKING FIRE STATION
800053125,*NPS (SHOES) LTD,13584,49,29.45,CLOTHING,02/10/14,,BARKING FIRE STATION
800053125,*NPS (SHOES) LTD,13584,50,29.45,CLOTHING,02/10/14,,EAST GREENWICH FS
800053125,*NPS (SHOES) LTD,13584,51,29.45,CLOTHING,02/10/14,,EAST HAM FIRE STATION
800053125,*NPS (SHOES) LTD,13584,52,29.45,CLOTHING,02/10/14,,HILLINGDON FS
800053125,*NPS (SHOES) LTD,13584,53,29.45,CLOTHING,02/10/14,,TOOTING FIRE STATION
800053125,*NPS (SHOES) LTD,13584,54,29.45,CLOTHING,02/10/14,,MILLWALL FS
800053125,*NPS (SHOES) LTD,13584,55,29.45,CLOTHING,02/10/14,,HOMERTON FIRE STATION
800053125,*NPS (SHOES) LTD,13584,56,29.45,CLOTHING,02/10/14,,HILLINGDON FS
800053125,*NPS (SHOES) LTD,13584,57,29.45,CLOTHING,02/10/14,,HESTON FS
800053125,*NPS (SHOES) LTD,13584,58,29.45,CLOTHING,02/10/14,,FIRE ENGINEERING
800053125,*NPS (SHOES) LTD,13584,59,29.45,CLOTHING,02/10/14,,ENFORCEMENT - SOUTH EAST
800053125,*NPS (SHOES) LTD,13584,60,29.45,CLOTHING,02/10/14,,WILLESDEN FS
800053125,*NPS (SHOES) LTD,13584,61,29.45,CLOTHING,02/10/14,,ERITH FS
800053125,*NPS (SHOES) LTD,13584,62,29.45,CLOTHING,02/10/14,,TOOTING FIRE STATION
800053125,*NPS (SHOES) LTD,13584,63,29.45,CLOTHING,02/10/14,,KINGSTON FS
800053125,*NPS (SHOES) LTD,13584,64,29.45,CLOTHING,02/10/14,,WEMBLEY FS
800053125,*NPS (SHOES) LTD,13584,65,29.45,CLOTHING,02/10/14,,PADDINGTON FS
800053125,*NPS (SHOES) LTD,13584,66,29.45,CLOTHING,02/10/14,,WENNINGTON FIRE STATION
800053125,*NPS (SHOES) LTD,13584,67,41.10,CLOTHING,02/10/14,,ENFORCEMENT - SOUTH EAST
800053125,*NPS (SHOES) LTD,13584,68,41.10,CLOTHING,02/10/14,,SPECIAL OPERATIONAL GROUP
800053125,*NPS (SHOES) LTD,13584,69,41.10,CLOTHING,02/10/14,,HR TRNG ASURNCE & BUS RELTNSHP
800053125,*NPS (SHOES) LTD,13584,70,41.10,CLOTHING,02/10/14,,NORTH EAST AREA TEAM
800053125,*NPS (SHOES) LTD,13584,71,41.10,CLOTHING,02/10/14,,TWICKENHAM FS
800053125,*NPS (SHOES) LTD,13584,72,41.10,CLOTHING,02/10/14,,WENNINGTON FIRE STATION
800053125,*NPS (SHOES) LTD,13584,73,41.10,CLOTHING,02/10/14,,TWICKENHAM FS
