Vendor Name, Batch Number,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department
HALLMARK CATERING & EQUIP HIRE,311014C,2478,1,125.75,PUBLIC RELATIONS,17/11/2014,313.75,Business Continuity
HALLMARK CATERING & EQUIP HIRE,311014C,2478,2,188,PUBLIC RELATIONS,17/11/2014,,Business Continuity
JEWERS SPECIALIST DOORS=======,111114E,2688,1,950,DEVELOPMENT  EXPENSES-CONTRACT,17/11/2014,950,Technical and Service Support
GARRAN LOCKERS LTD============,211114C,2994,1,"14,202.40",PURCHASES-FURNITURE,27/11/2014,"14,669.90",Technical and Service Support
GARRAN LOCKERS LTD============,211114C,2994,2,467.5,PURCHASES-FURNITURE,27/11/2014,,Technical and Service Support
JEWERS SPECIALIST DOORS=======,111114E,9777,1,950,DEVELOPMENT  EXPENSES-CONTRACT,17/11/2014,950,Technical and Service Support
WOLF SAFETY LAMP CO LTD=======,281014E,25004,1,"5,040.00",GENERAL CONSUMABLES,03/11/2014,"5,040.00",Procurement
ADVANCED FURNITURE============,131114E,64448,1,"1,755.00",PURCHASES-FURNITURE,20/11/2014,"1,755.00",Technical and Service Support
GOVNET COMMUNICATIONS=========,101114G,74780,1,358,PROFESSIONAL DEVELOPMENT,13/11/2014,358,Technical And Service Support
GOVNET COMMUNICATIONS=========,281014E,75216,1,355,PROFESSIONAL DEVELOPMENT,03/11/2014,355,Operational Resilience
GOVNET COMMUNICATIONS=========,281014E,75247,1,355,PROFESSIONAL DEVELOPMENT,03/11/2014,355,Strategy & Performance
MOOLANDS LTD,301014E,799,1,927,STRATEGIC (NON CYCLICAL),06/11/2014,927,Technical and Service Support
MOOLANDS LTD,301014E,803,1,877,STRATEGIC (NON CYCLICAL),06/11/2014,877,Technical and Service Support
MOOLANDS LTD,141114C,806,1,904,STRATEGIC (NON CYCLICAL),20/11/2014,904,Technical and Service Support
MOOLANDS LTD,301014E,807,1,941,STRATEGIC (NON CYCLICAL),06/11/2014,941,Technical and Service Support
MOOLANDS LTD,301014E,808,1,888,STRATEGIC (NON CYCLICAL),06/11/2014,888,Technical and Service Support
MOOLANDS LTD,301014E,809,1,"1,007.00",STRATEGIC (NON CYCLICAL),06/11/2014,"1,007.00",Technical and Service Support
MOOLANDS LTD,301014E,810,1,977,STRATEGIC (NON CYCLICAL),06/11/2014,977,Technical and Service Support
