Vendor Name, Batch Number,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Pro Class
JEWERS SPECIALIST DOORS=======,251114E,9681,1,649,STRATEGIC (CYCLICAL),01/12/2014,649,Technical and Service Support,"Works - Construction, R&M"
HEALTH MANAGEMENT LIMITED=====,171114C,121896,1,"1,800.00",THIRD PARTY REPORTS,01/12/2014,"1,800.00",HR Excluding Secondments,Healthcare
HEALTH MANAGEMENT LIMITED=====,171114C,121897,1,400.68,DRUG & ALCOHOL TESTS,01/12/2014,400.68,HR Excluding Secondments,Healthcare
HEALTH MANAGEMENT LIMITED=====,171114C,121900,1,"1,113.11",OHS CONTRACT,01/12/2014,"1,113.11",HR Excluding Secondments,Healthcare
HEALTH MANAGEMENT LIMITED=====,171114C,12898,1,269.26,OHS CONTRACT,01/12/2014,269.26,HR Excluding Secondments,Healthcare
MOOLANDS LTD,251114E,1417,1,"2,855.00",STRATEGIC (NON CYCLICAL),01/12/2014,"2,855.00",Technical and Service Support,"Works - Construction, R&M"
MOOLANDS LTD,251114E,1418,1,"2,945.00",STRATEGIC (NON CYCLICAL),01/12/2014,"2,945.00",Technical and Service Support,"Works - Construction, R&M"
HUNTER APPAREL SOLUTIONS LTD==,261114G,61682,1,305.5,CLOTHING,01/12/2014,"3,030.56",Operations Non Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61682,2,586.56,CLOTHING,01/12/2014,,Operations Non Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61682,3,"1,222.00",CLOTHING,01/12/2014,,Operations Non Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61682,4,611,CLOTHING,01/12/2014,,Operations Non Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61682,5,305.5,CLOTHING,01/12/2014,,Operations Non Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,1,14.68,CLOTHING,01/12/2014,484.25,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,2,24.44,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,3,7.34,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,4,24.44,CLOTHING,01/12/2014,,Operations Non Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,5,14.68,CLOTHING,01/12/2014,,Operations Non Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,6,24.44,CLOTHING,01/12/2014,,Regulatory Fire Safety,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,7,22.02,CLOTHING,01/12/2014,,Regulatory Fire Safety,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,8,6.11,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,9,7.34,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,10,22.02,CLOTHING,01/12/2014,,Command Units,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,11,24.44,CLOTHING,01/12/2014,,Command Units,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,12,6.11,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,13,7.34,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,14,24.44,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,15,7.34,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,16,22.02,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,17,18.99,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,18,6.63,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,19,5.61,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,20,6.11,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,21,22.02,CLOTHING,01/12/2014,,CBRN RRT,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,22,22.02,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,23,24.44,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,24,7.34,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,25,22.44,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,26,19.89,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,27,19.89,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,28,22.44,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,29,19.89,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
HUNTER APPAREL SOLUTIONS LTD==,261114G,61736,30,7.34,CLOTHING,01/12/2014,,Operations Fire Stations,Clothing
CUNDALL JOHNSTON AND PARTNERS,251114E,100021361,1,"2,871.75",PROFESSIONAL SERVICES,01/12/2014,"2,871.75",Property PFI,Consultancy
AFFINITY WATER,251114E,101035268,1,368,CURRENT HYDRANT COSTS,01/12/2014,368,Operational Resilience,Utilities
AFFINITY WATER,251114E,101037698,1,507,CURRENT HYDRANT COSTS,01/12/2014,507,Operational Resilience,Utilities
AFFINITY WATER,261114G,101040900,1,300,CURRENT HYDRANT COSTS,01/12/2014,300,Operational Resilience,Utilities
RED ROAD LIMITED==============,201114E,103036,1,"1,760.00",PROTECTIVE EQUIPMENT,01/12/2014,"1,772.00",Technical And Service Support,Fire & Rescue
RED ROAD LIMITED==============,201114E,103036,2,12,PROTECTIVE EQUIPMENT,01/12/2014,,Technical And Service Support,Fire & Rescue
G WORRALL & SON LIMITED=======,251114E,107946,1,150,GENERAL CONSUMABLES,01/12/2014,358.5,Procurement,Facilities & Management S
G WORRALL & SON LIMITED=======,251114E,107946,2,34.5,GENERAL CONSUMABLES,01/12/2014,,Procurement,Facilities & Management S
G WORRALL & SON LIMITED=======,251114E,107946,3,174,GENERAL CONSUMABLES,01/12/2014,,Procurement,Facilities & Management S
G WORRALL & SON LIMITED=======,251114E,107952,1,812,TACTICAL DAY TO DAY,01/12/2014,812,Technical And Service Support,Facilities & Management S
INFOR (UNITED KINGDOM) LIMITED,261114G,11406561-GB04G,1,"1,070.03",MAINTENANCE & SUPPORT,01/12/2014,"1,070.03",Information and Communication Technology,ICT
BURKE HUNTER ADAMS LLP,251114E,14/092,1,"18,061.05",PROF FEES-MISCELLANEOUS,01/12/2014,"18,061.05",Technical and Service Support,Consultancy
BOURNE CONSTRUCTION COMPANY,140881,14/512,1,"4,540.00",STRATEGIC (NON CYCLICAL),01/12/2014,"6,680.00",Technical and Service Support,"Works - Construction, R&M"
BOURNE CONSTRUCTION COMPANY,140881,14/512,2,"2,140.00",STRATEGIC (NON CYCLICAL),01/12/2014,,Technical and Service Support,"Works - Construction, R&M"
H FINE & SON LTD==============,201114E,148371,1,496,UNIFORMS - POMS,01/12/2014,496,Procurement,Uniform
DRON & WRIGHT=================,251114E,17388,1,"1,515.00",PROFESSIONAL SERVICES,01/12/2014,"1,515.00",Property PFI,Facilities & Management S
AIRSERVICES(UK)===============,131114E,17522,1,338,REPAIR & MAINTENANCE,01/12/2014,338,Technical And Service Support,Fire & Rescue
CHANGING YOUNG MINDS,261114G,18/11/2014,1,150,GENERAL,01/12/2014,300,LIFE - LFB Funded,Human Resources
CHANGING YOUNG MINDS,261114G,18/11/2014,2,150,GENERAL,01/12/2014,,LIFE - LFB Funded,Human Resources
GRADIENT CONSULTANTS LLP======,251114E,2173,1,350,ASBESTOS,01/12/2014,"3,500.00",Technical and Service Support,"Works - Construction, R&M"
GRADIENT CONSULTANTS LLP======,251114E,2173,2,350,ASBESTOS,01/12/2014,,Technical and Service Support,"Works - Construction, R&M"
GRADIENT CONSULTANTS LLP======,251114E,2173,3,350,ASBESTOS,01/12/2014,,Technical and Service Support,"Works - Construction, R&M"
GRADIENT CONSULTANTS LLP======,251114E,2173,4,350,ASBESTOS,01/12/2014,,Technical and Service Support,"Works - Construction, R&M"
GRADIENT CONSULTANTS LLP======,251114E,2173,5,350,ASBESTOS,01/12/2014,,Technical and Service Support,"Works - Construction, R&M"
GRADIENT CONSULTANTS LLP======,251114E,2173,6,350,ASBESTOS,01/12/2014,,Technical and Service Support,"Works - Construction, R&M"
GRADIENT CONSULTANTS LLP======,251114E,2173,7,350,ASBESTOS,01/12/2014,,Technical and Service Support,"Works - Construction, R&M"
GRADIENT CONSULTANTS LLP======,251114E,2173,8,350,ASBESTOS,01/12/2014,,Technical and Service Support,"Works - Construction, R&M"
GRADIENT CONSULTANTS LLP======,251114E,2173,9,350,ASBESTOS,01/12/2014,,Technical and Service Support,"Works - Construction, R&M"
GRADIENT CONSULTANTS LLP======,251114E,2173,10,350,ASBESTOS,01/12/2014,,Technical and Service Support,"Works - Construction, R&M"
CRISPIN HUGHES================,191114C,2267,1,319.9,PRESS OFFICE,01/12/2014,319.9,Operations Non Fire Stations,Facilities & Management S
B NOKES CONTRACTS LTD,251114E,2472,1,"9,979.50",STRATEGIC (NON CYCLICAL),01/12/2014,"9,979.50",Technical and Service Support,"Works - Construction, R&M"
B NOKES CONTRACTS LTD,251114E,2473,1,"7,609.50",STRATEGIC (NON CYCLICAL),01/12/2014,"7,609.50",Technical and Service Support,"Works - Construction, R&M"
B NOKES CONTRACTS LTD,251114E,2474,1,592.5,STRATEGIC (NON CYCLICAL),01/12/2014,592.5,Technical and Service Support,"Works - Construction, R&M"
B NOKES CONTRACTS LTD,251114E,2475,1,284.75,STRATEGIC (NON CYCLICAL),01/12/2014,284.75,Technical and Service Support,"Works - Construction, R&M"
B NOKES CONTRACTS LTD,251114E,2476,1,858,DEVELOPMENT  EXPENSES-CONTRACT,01/12/2014,858,Property PFI,"Works - Construction, R&M"
B NOKES CONTRACTS LTD,251114E,2477,1,592.5,PURCHASES-COMPUTER/EQUIPMENT,01/12/2014,592.5,Property PFI,"Works - Construction, R&M"
B NOKES CONTRACTS LTD,251114E,2478,1,810,PURCHASES-COMPUTER/EQUIPMENT,01/12/2014,"1,135.00",Property PFI,"Works - Construction, R&M"
B NOKES CONTRACTS LTD,251114E,2478,2,325,PURCHASES-COMPUTER/EQUIPMENT,01/12/2014,,Property PFI,"Works - Construction, R&M"
B NOKES CONTRACTS LTD,251114E,2479,1,"2,145.00",PURCHASES-COMPUTER/EQUIPMENT,01/12/2014,"2,145.00",Property PFI,"Works - Construction, R&M"
B NOKES CONTRACTS LTD,251114E,2481,1,879,PURCHASES-COMPUTER/EQUIPMENT,01/12/2014,879,Property PFI,"Works - Construction, R&M"
B NOKES CONTRACTS LTD,251114E,2482,1,"3,405.00",DAY TO DAY MINOR IMPS,01/12/2014,"3,405.00",Property PFI,"Works - Construction, R&M"
B NOKES CONTRACTS LTD,251114E,2485,1,699,PROF FEES-MISCELLANEOUS,01/12/2014,699,Technical and Service Support,"Works - Construction, R&M"
B NOKES CONTRACTS LTD,251114E,2488,1,"3,712.50",FIXTURES & FITTINGS,01/12/2014,"3,712.50",Community Safety Delivery,"Works - Construction, R&M"
SELECT SERVICE TELECOMMUNICATI,171114C,26112,1,"1,300.00",OFFICE EQUIPMENT,01/12/2014,"1,335.00",Information and Communication Technology,Utilities
SELECT SERVICE TELECOMMUNICATI,171114C,26112,2,25,OFFICE EQUIPMENT,01/12/2014,,Information and Communication Technology,Utilities
SELECT SERVICE TELECOMMUNICATI,171114C,26112,3,10,OFFICE EQUIPMENT,01/12/2014,,Information and Communication Technology,Utilities
ADECCO UK LIMITED=============,800055363,26971946,1,810.18,FRS STAFF AGENCY,01/12/2014,810.18,National Operational Guidance Project,Human Resources
BRISTOL UNIFORMS LTD==========,261114G,280098,1,"3,933.39",CLOTHING,01/12/2014,"3,933.39",Procurement,Clothing
BRISTOL UNIFORMS LTD==========,261114G,280099,1,"197,575.56",CLOTHING,01/12/2014,"197,575.56",Procurement,Clothing
CARPETS & FLOOR COVERS DIRECT=,261114G,3282,1,680,TACTICAL DAY TO DAY,01/12/2014,680,Technical And Service Support,Building Constr Materials
CARPETS & FLOOR COVERS DIRECT=,261114G,3296*,1,500,TACTICAL DAY TO DAY,01/12/2014,500,Technical And Service Support,Building Constr Materials
MCGRATH BROS (WASTE CONTROL) L,251114E,343129,1,312,REFUSE COLLECTION,01/12/2014,312,Technical And Service Support,Environmental Services
HUNTERS CONTRACTS LIMITED,201114E,348012,1,418.95,OFFICE FURNITURE,01/12/2014,418.95,Operations Fire Stations,Furniture
HUNTERS CONTRACTS LIMITED,201114E,348013,1,299.25,OFFICE FURNITURE,01/12/2014,299.25,Operations Fire Stations,Furniture
*H-SQUARED ELECTRONICS LTD,800055311,355552,1,255,OPERATIONAL EQUIP-PURCHASE,01/12/2014,255,Technical And Service Support,Stationery
TECHNIFORM GRAPHICS LTD=======,251114E,404229,1,775,DEVELOPT  EXPENSES-MISC,01/12/2014,775,Technical and Service Support,Building Constr Materials
BOND DICKINSON LLP,251114E,4186680,1,"1,157.50",PROFESSIONAL SERVICES,01/12/2014,"1,157.50",Property PFI,Legal Services
MR JACK FERRO=================,140883,418891,1,700,COUNSELS FEES,01/12/2014,700,Legal & Democratic Services,Legal Services
THE HEIGHTEC GROUP LTD========,261114G,42814,1,"1,525.88",PROTECTIVE EQUIPMENT,01/12/2014,"1,525.88",Technical And Service Support,Fire & Rescue
FOCUS & VISION TECHNOLOGY LTD,251114E,43347,1,365.6,MEDICAL EXPENSES CONTRACT,01/12/2014,365.6,HR Excluding Secondments,Healthcare
FOCUS & VISION TECHNOLOGY LTD,251114E,43372,1,280.1,MEDICAL EXPENSES CONTRACT,01/12/2014,280.1,HR Excluding Secondments,Healthcare
FOCUS & VISION TECHNOLOGY LTD,261114G,43410,1,494.76,MEDICAL EXPENSES CONTRACT,01/12/2014,494.76,HR Excluding Secondments,Healthcare
*BURLINGTON UNIFORMS LTD,800055473,437301,1,570,CLOTHING,01/12/2014,570,Operations Fire Stations,Clothing
*GREENHAM TRADING LTD=========,800055078,5663260,1,118.9,HYGIENE,01/12/2014,475.6,HR Excluding Secondments,Cleaning & Janitorial
*GREENHAM TRADING LTD=========,800055078,5663260,2,118.9,HYGIENE,01/12/2014,,HR Excluding Secondments,Cleaning & Janitorial
*GREENHAM TRADING LTD=========,800055078,5663260,3,118.9,HYGIENE,01/12/2014,,HR Excluding Secondments,Cleaning & Janitorial
*GREENHAM TRADING LTD=========,800055078,5663260,4,118.9,HYGIENE,01/12/2014,,HR Excluding Secondments,Cleaning & Janitorial
RACKLINE LIMITED,261114G,6117208,1,"2,369.00",PROF FEES-MISCELLANEOUS,01/12/2014,"2,369.00",Technical and Service Support,Furniture
MR JOHN CAVANAGH==============,140883,73816A,1,"16,000.00",COUNSELS FEES,01/12/2014,"16,000.00",Legal & Democratic Services,Legal Services
SHARPE PRITCHARD==============,251114E,79890,1,"1,152.00",CONSULTANTS,01/12/2014,"1,152.00",Technical And Service Support,Legal Services
CAPITA SECURE INFO SOLUTIONS,131114E,94013268,1,"53,476.76",CAMS CONTRACT,01/12/2014,"53,476.76",Control & Mobilising Services,ICT
PITNEY BOWES PURCHASE POWER,251114E,BC128793,1,"6,505.52",POSTAL SERVICES,01/12/2014,"6,505.52",Strategy & Performance,Mail Services
SURVITEC SERVICE &DISTRIBUTION,251114E,CD30802275,1,407,PROTECTIVE EQUIPT - PARTS,01/12/2014,422,Technical and Service Support,Fire & Rescue
SURVITEC SERVICE &DISTRIBUTION,251114E,CD30802275,2,15,REPAIR & MAINTENANCE,01/12/2014,,Technical And Service Support,Fire & Rescue
ASIAN FIRE SERVICE ASSOCIATION,251114E,CM2014/15-19,1,800,SUBSCRIPTIONS,01/12/2014,800,Corporate Management Secretariat,Financial Services
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,1,729.98,FUEL,01/12/2014,"17,865.82",Operations Non Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,2,575.07,FUEL,01/12/2014,,Procurement,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,3,440.43,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,4,404.32,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
