 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Pro Class
150115C,HEALTH MANAGEMENT LIMITED=====,124940,1,565.27,OHS CONTRACT,02/02/2015,565.27,HR Excluding Secondments,Healthcare
270115E,*PREMIER VANGUARD LTD,718704,1,53.2,STATIONERY CONSUMABLES,02/02/2015,556.44,Operations Fire Stations,Stationery
270115E,*PREMIER VANGUARD LTD,718704,2,133,STATIONERY CONSUMABLES,02/02/2015,,Operations Fire Stations,Stationery
270115E,*PREMIER VANGUARD LTD,718704,3,53.2,STATIONERY CONSUMABLES,02/02/2015,,Operations Fire Stations,Stationery
270115E,*PREMIER VANGUARD LTD,718704,4,19,STATIONERY CONSUMABLES,02/02/2015,,Operations Fire Stations,Stationery
270115E,*PREMIER VANGUARD LTD,718704,5,66.72,STATIONERY CONSUMABLES,02/02/2015,,Operations Fire Stations,Stationery
270115E,*PREMIER VANGUARD LTD,718704,6,26.6,STATIONERY CONSUMABLES,02/02/2015,,Operations Fire Stations,Stationery
270115E,*PREMIER VANGUARD LTD,718704,7,46,STATIONERY CONSUMABLES,02/02/2015,,Operations Fire Stations,Stationery
270115E,*PREMIER VANGUARD LTD,718704,8,66.72,STATIONERY CONSUMABLES,02/02/2015,,Operations Fire Stations,Stationery
270115E,*PREMIER VANGUARD LTD,718704,9,92,STATIONERY CONSUMABLES,02/02/2015,,Operations Fire Stations,Stationery
280115C,FIRST PRODUCTS (SUSSEX) LTD,01/15 3,1,"1,219.50",OPERATIONAL EQUIP-PURCHASE,02/02/2015,"1,219.50",Operational Procedures, Fire & Rescue 
280115C,*SPRUE SAFETY PRODUCTS LTD====,1069021,1,"1,483.20",FIRE DETECTORS,02/02/2015,"1,483.20",Operations Non Fire Stations,Health & Safety
270115E,*SPRUE SAFETY PRODUCTS LTD====,1069060,1,618,FIRE DETECTORS,02/02/2015,618,Operations Non Fire Stations,Health & Safety
280115C,*SPRUE SAFETY PRODUCTS LTD====,1069357,1,"1,483.20",FIRE DETECTORS,02/02/2015,"1,483.20",Operations Non Fire Stations,Health & Safety
280115C,*SPRUE SAFETY PRODUCTS LTD====,1069359,1,"1,236.00",FIRE DETECTORS,02/02/2015,"1,236.00",Operations Non Fire Stations,Health & Safety
280115C,*SPRUE SAFETY PRODUCTS LTD====,1069362,1,741.6,FIRE DETECTORS,02/02/2015,741.6,Operations Non Fire Stations,Health & Safety
280115C,*SPRUE SAFETY PRODUCTS LTD====,1069365,1,370.8,FIRE DETECTORS,02/02/2015,370.8,Operations Non Fire Stations,Health & Safety
280115C,*SPRUE SAFETY PRODUCTS LTD====,1069539,1,494.4,FIRE DETECTORS,02/02/2015,494.4,Operations Non Fire Stations,Health & Safety
280115C,FIRSTFIRE LTD=================,13541,1,108,CLOTHING,02/02/2015,324,USAR Secondments,Clothing
280115C,FIRSTFIRE LTD=================,13541,2,108,CLOTHING,02/02/2015,,USAR Secondments,Clothing
280115C,FIRSTFIRE LTD=================,13541,3,108,CLOTHING,02/02/2015,,USAR Secondments,Clothing
