 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Title
260315H,VCG KESTREL LIMITED===========,559,1,"1,020.00",DAY TO DAY MINOR IMPS,02/04/2015,"1,020.00",Property PFI,Facilities & Management S
300315H,VCG KESTREL LIMITED===========,560,1,420,FIXTURES & FITTINGS,02/04/2015,420,Technical And Service Support,Facilities & Management S
230315G,GREENSPACE INFO.FOR GT. LONDON,1791,1,"2,000.00",SUBSCRIPTIONS,02/04/2015,"2,000.00",Procurement,Financial Services
300315H,GOVNET COMMUNICATIONS=========,82085,1,385,PROFESSIONAL DEVELOPMENT,02/04/2015,385,Corporate Projects,Human Resources
300315H,OGILVIE FLEET LTD=============,326812,1,674.96,MILEAGE CHARGES,02/04/2015,674.96,Procurement,Vehicle Management
141007,THAMES WATER UTILITIES LTD====,0592996051E,1,387.41,WATER & SEWERAGE RATES,02/04/2015,387.41,Technical And Service Support,Utilities
270315H,BRIGLY FIRE LTD,64,1,"2,820.00",CONSULTANTS,02/04/2015,"2,820.00",Fire Safety Regulation,Fire & Rescue
141007,THAMES WATER UTILITIES LTD====,08336-60263C,1,666.08,WATER & SEWERAGE RATES,02/04/2015,666.08,Technical And Service Support,Utilities
250315C,AIRWAVE SOLUTIONS LTD=========,0941000028-008,1,983,MAINTENANCE & SUPPORT,02/04/2015,983,Information and Communication Technology,ICT
240315H,AIRWAVE SOLUTIONS LTD=========,0941000028-009,1,"9,817.50",ACQUISITIONS,02/04/2015,"27,733.29",Information and Communication Technology,ICT
240315H,AIRWAVE SOLUTIONS LTD=========,0941000028-009,2,41.69,ACQUISITIONS,02/04/2015,,Information and Communication Technology,ICT
240315H,AIRWAVE SOLUTIONS LTD=========,0941000028-009,3,"9,548.05",OPERATIONAL EQUIP-PURCHASE,02/04/2015,,Operational Procedures,ICT
240315H,AIRWAVE SOLUTIONS LTD=========,0941000028-009,4,"1,771.90",OPERATIONAL EQUIP-PURCHASE,02/04/2015,,Operational Procedures,ICT
240315H,AIRWAVE SOLUTIONS LTD=========,0941000028-009,5,519.35,OPERATIONAL EQUIP-PURCHASE,02/04/2015,,Operational Procedures,ICT
240315H,AIRWAVE SOLUTIONS LTD=========,0941000028-009,6,"6,034.80",OPERATIONAL EQUIP-PURCHASE,02/04/2015,,Operational Procedures,ICT
270315H,CHANGING YOUNG MINDS,10/24/032015,1,150,GENERAL,02/04/2015,450,LIFE - LFB Funded,Human Resources
270315H,CHANGING YOUNG MINDS,10/24/032015,2,150,GENERAL,02/04/2015,,LIFE - LFB Funded,Human Resources
270315H,CHANGING YOUNG MINDS,10/24/032015,3,150,GENERAL,02/04/2015,,LIFE - LFB Funded,Human Resources
260315H,HAYS ACCOUNTANCY & FINANCE====,1005260308,1,464,FRS STAFF AGENCY,02/04/2015,464,Technical And Service Support,Human Resources
270315H,NATIONAL DESIGN CONSULTANCY===,102/155718/01,1,500,PROFESSIONAL SERVICES,02/04/2015,500,Technical And Service Support,Environmental Services
800060245,AZTEC COMPUTING LTD===========,10472,1,"2,800.00",TELECOMMUNICATIONS,02/04/2015,"2,800.00",HR Management,ICT
800060246,AZTEC COMPUTING LTD===========,10473,1,700,TELECOMMUNICATIONS,02/04/2015,700,HR Management,ICT
800060247,AZTEC COMPUTING LTD===========,10474,1,"3,500.00",TELECOMMUNICATIONS,02/04/2015,"3,500.00",HR Management,ICT
800060249,AZTEC COMPUTING LTD===========,10476,1,"3,150.00",TELECOMMUNICATIONS,02/04/2015,"3,150.00",HR Management,ICT
800060250,AZTEC COMPUTING LTD===========,10477,1,"6,000.00",MAINTENANCE & SUPPORT,02/04/2015,"11,000.00",Information and Communication Technology,ICT
800060250,AZTEC COMPUTING LTD===========,10477,2,"5,000.00",MAINTENANCE & SUPPORT,02/04/2015,,Information and Communication Technology,ICT
800060251,AZTEC COMPUTING LTD===========,10478,1,350,MAINTENANCE & SUPPORT,02/04/2015,350,HR Management,ICT
180315H,IMPACT EPOS LTD,10512,1,912.71,TACTICAL DAY TO DAY,02/04/2015,912.71,Technical And Service Support,ICT
141008,MR NICHOLAS WILCOX============,106970,1,450,COUNSELS FEES,02/04/2015,450,Legal & Democratic Services,Legal Services
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072465,1,"2,224.80",FIRE DETECTORS,02/04/2015,"2,224.80",Operations Non Fire Stations,Health & Safety
