 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
902535,AMICALE DES POMPIERS DE NAMUR,2015 UKRO,1,555.98,PROFESSIONAL DEVELOPMENT,01/06/2015,555.98,Challenge Team,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,1,"248,220.58",VEHICLES,01/06/2015,"928,425.39",Procurement,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,2,"623,493.56",VEHICLES,01/06/2015,,Procurement,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,3,"15,338.25",VEHICLES,01/06/2015,,Business Continuity,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,4,"3,982.04",LOST & NFWT OPS EQUIPMENT,01/06/2015,,Procurement,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,5,"7,441.05",VEHICLES NWFT,01/06/2015,,Procurement,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,6,"2,470.56",ACCIDENT REPAIRS,01/06/2015,,Procurement,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,7,"2,111.10",ACCIDENT REPAIRS,01/06/2015,,Procurement,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,8,"2,885.96",MODIFICATIONS,01/06/2015,,Procurement,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,9,372.87,MODIFICATIONS,01/06/2015,,Procurement,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,10,"2,311.76",VEHICLES,01/06/2015,,Procurement,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,11,"2,318.00",ACCIDENT REPAIRS,01/06/2015,,Procurement,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,12,"5,498.85",ACCIDENT REPAIRS,01/06/2015,,Procurement,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,13,"4,874.88",LOST & NFWT OPS EQUIPMENT,01/06/2015,,Procurement,Consultancy
902533,BABCOCK CRITICAL SERVICES LTD,SIMP015228,14,"7,105.93",VEHICLES NWFT,01/06/2015,,Procurement,Consultancy
141070,MULLIS PEAKE LLP,9063,1,"5,600.00",CLAIMANT COSTS AGREED,03/06/2015,"5,600.00",Compensation Budgets,Legal services
141070,THOMPSONS SOLICITORS==========,9514,2,834,CLAIMANT COSTS AGREED,03/06/2015,834,Compensation Budgets,Legal Services
010615H,ADVANCED FURNITURE============,70629,1,405,OFFICE FURNITURE,04/06/2015,405,Operations Fire Stations,Furniture
270515H,SYNERGY HEALTH LAB SERVICE LTD,135121,1,135,DRUG & ALCOHOL TESTS,04/06/2015,265,HR Management,Healthcare
270515H,SYNERGY HEALTH LAB SERVICE LTD,135121,2,130,DRUG & ALCOHOL TESTS,04/06/2015,,HR Management,Healthcare
270515H,MOOLANDS LTD,2062,1,"8,116.00",STRATEGIC (NON CYCLICAL),04/06/2015,"8,116.00",Technical and Service Support,"Works - Construction, R&M"
270515H,MOOLANDS LTD,2270,1,"1,107.20",STRATEGIC (NON CYCLICAL),04/06/2015,"1,107.20",Technical and Service Support,"Works - Construction, R&M"
270515H,MOOLANDS LTD,2297,1,820,STRATEGIC (NON CYCLICAL),04/06/2015,820,Technical and Service Support,"Works - Construction, R&M"
270515H,MOOLANDS LTD,2298,1,861.5,STRATEGIC (NON CYCLICAL),04/06/2015,861.5,Technical and Service Support,"Works - Construction, R&M"
270515H,MOOLANDS LTD,2299,1,845,STRATEGIC (NON CYCLICAL),04/06/2015,845,Technical and Service Support,"Works - Construction, R&M"
270515H,MOOLANDS LTD,2300,1,915,STRATEGIC (NON CYCLICAL),04/06/2015,915,Technical and Service Support,"Works - Construction, R&M"
270515H,MOOLANDS LTD,2301,1,945,STRATEGIC (NON CYCLICAL),04/06/2015,945,Technical and Service Support,"Works - Construction, R&M"
270515H,MOOLANDS LTD,2302,1,985,STRATEGIC (NON CYCLICAL),04/06/2015,985,Technical and Service Support,"Works - Construction, R&M"
270515H,MOOLANDS LTD,2303,1,"7,203.00",STRATEGIC (NON CYCLICAL),04/06/2015,"7,203.00",Technical and Service Support,"Works - Construction, R&M"
141059,MONTAGU EVANS,0068-170355,1,616.6,RENTS,04/06/2015,616.6,Technical And Service Support,Consultancy
141059,THAMES WATER UTILITIES LTD====,0084111204E,1,482.13,WATER & SEWERAGE RATES,04/06/2015,482.13,Technical And Service Support,Utilities
280515H,HELEN BARTIMOTE,372,1,"5,910.80",CONSULTANTS,04/06/2015,"5,910.80",HR Development,Consultancy
010615G,*HUNTER APPAREL SOLUTIONS LTD,64443,1,24.44,CLOTHING,04/06/2015,753.03,Operations Fire Stations,Clothing
010615G,*HUNTER APPAREL SOLUTIONS LTD,64443,2,22.02,CLOTHING,04/06/2015,,Operations Fire Stations,Clothing
